A	B	Y	Z	u	coefficient
3	0	3	0	0	-16139214180202939200
2	1	3	0	0	-561217807998655488
1	2	3	0	0	362088354625920
0	3	3	0	0	13749237478656
2	0	4	0	0	-877484001188736576
1	1	4	0	0	-14728772387695104
0	2	4	0	0	-3074569000704
1	0	5	0	0	-23568654162945024
0	1	5	0	0	-164638211005440
0	0	6	0	0	-198359290368000
5	0	0	1	0	126002408257985386536
4	1	0	1	0	2394250840894712040
3	2	0	1	0	-540839995817946912
2	3	0	1	0	-4425949521129024
1	4	0	1	0	34795525518720
0	5	0	1	0	-178564176000
4	0	1	1	0	39548928568908818592
3	1	1	1	0	-3060939295819381824
2	2	1	1	0	-128865004226882784
1	3	1	1	0	197652176231040
0	4	1	1	0	4744705248000
3	0	2	1	0	-1395130488474151872
2	1	2	1	0	-737955456348258432
1	2	2	1	0	-9168083751104640
0	3	2	1	0	358148718720
2	0	3	1	0	-925335708763857408
1	1	3	1	0	-50028064384186368
0	2	3	1	0	-258814794087936
1	0	4	1	0	-54979839589169664
0	1	4	1	0	-790858490697216
0	0	5	1	0	-603012242718720
4	0	0	2	0	-1293934791609155916
3	1	0	2	0	755154087042515040
2	2	0	2	0	-3229170782614848
1	3	0	2	0	-297098137128960
0	4	0	2	0	2550916800000
3	0	1	2	0	1620013655832762816
2	1	1	2	0	136566467597333952
1	2	1	2	0	-3818091250747008
0	3	1	2	0	-35202651840000
2	0	2	2	0	362627048868736896
1	1	2	2	0	3523224655634688
0	2	2	2	0	-189929020527360
1	0	3	2	0	22557947458756608
0	1	3	2	0	18866172506112
0	0	4	2	0	347922195305472
3	0	0	3	0	-194238476208580032
2	1	0	3	0	1314138563658432
1	2	0	3	0	494851329665280
0	3	0	3	0	-13094706240000
2	0	1	3	0	-34404460177759488
1	1	1	3	0	2530913938967808
0	2	1	3	0	25101021312000
1	0	2	3	0	-461273509790208
0	1	2	3	0	124856153326080
0	0	3	3	0	11078733699072
2	0	0	4	0	20599061306688
1	1	0	4	0	-215881027683840
0	2	0	4	0	10203667200000
1	0	1	4	0	-411257582055936
0	1	1	4	0	-6122200320000
0	0	2	4	0	-20276727459840
1	0	0	5	0	27990699863040
0	1	0	5	0	-2857026816000
0	0	1	5	0	489776025600
0	0	0	6	0	272097792000
5	0	0	0	0	9659509921587044023056
4	1	0	0	0	2619966774934866113532
3	2	0	0	0	43232313397084791192
2	3	0	0	0	-224758072898637408
1	4	0	0	0	-622947351400704
0	5	0	0	0	21286431347616
4	0	1	0	0	9623520252971714566368
3	1	1	0	0	906603771073871744352
2	2	1	0	0	6204482350988132160
1	3	1	0	0	-63186508919742336
0	4	1	0	0	-153174697016256
3	0	2	0	0	2140213187641350238848
2	1	2	0	0	97182858498903362016
1	2	2	0	0	108451603083494016
0	3	2	0	0	-3733692127685568
2	0	3	0	0	189430362801377134272
1	1	3	0	0	4418088558981681024
0	2	3	0	0	3758958142296192
1	0	4	0	0	7945112571934136832
0	1	4	0	0	89271053142069888
0	0	5	0	0	124305816494914560
4	0	0	1	0	-1376071502902954580232
3	1	0	1	0	136064511080590037472
2	2	0	1	0	7582406571935348256
1	3	0	1	0	-4433726858305536
0	4	0	1	0	-557951623923456
3	0	1	1	0	129453288541618288032
2	1	1	1	0	76789410538309417728
1	2	1	1	0	1363286024370485280
0	3	1	1	0	-168787226162304
2	0	2	1	0	132184836482747962464
1	1	2	1	0	9635644897760775168
0	2	2	1	0	76997869589485440
1	0	3	1	0	13178960952668316288
0	1	3	1	0	309105761671584000
0	0	4	1	0	290875253551377408
3	0	0	2	0	-78010965211058734320
2	1	0	2	0	-8575742248477509168
1	2	0	2	0	261912962334213504
0	3	0	2	0	4164222702458880
2	0	1	2	0	-41272183338383144448
1	1	1	2	0	-765405596840154048
0	2	1	2	0	37417951046971008
1	0	2	2	0	-4799962525504411008
0	1	2	2	0	-15268061708383104
0	0	3	2	0	-147307956524568576
2	0	0	3	0	2317123339032112128
1	1	0	3	0	-180223449219121536
0	2	0	3	0	-4472605279217664
1	0	1	3	0	161404260314925312
0	1	1	3	0	-26558556806543616
0	0	2	3	0	-307853618651136
1	0	0	4	0	29495728938786048
0	1	0	4	0	1618727518988928
0	0	1	4	0	4522128982046208
0	0	0	5	0	-183548463353856
4	0	0	0	0	-274993673032972561418370
3	1	0	0	0	-29815177664706976951488
2	2	0	0	0	-278123705643165394176
1	3	0	0	0	2217218194743591168
0	4	0	0	0	5655155182385616
3	0	1	0	0	-136578535481195381539152
2	1	1	0	0	-7482957262825358179008
1	2	1	0	0	-22626032014374797808
0	3	1	0	0	323270325852738624
2	0	2	0	0	-20847596720956644724704
1	1	2	0	0	-606873608134188326208
0	2	2	0	0	-1003264023929666112
1	0	3	0	0	-1349153134473560642496
0	1	3	0	0	-19305362764265223168
0	0	4	0	0	-32371992131745713472
3	0	0	1	0	-4137677430859822819464
2	1	0	1	0	-2664493328433289687560
1	2	0	1	0	-58731322865346001296
0	3	0	1	0	13662020919007296
2	0	1	1	0	-8665287404404974076800
1	1	1	1	0	-762201922409988288480
0	2	1	1	0	-7528144148309617056
1	0	2	1	0	-1493618088765363193152
0	1	2	1	0	-44755994581569641088
0	0	3	1	0	-55536337520503717248
2	0	0	2	0	1540047448685021075532
1	1	0	2	0	39755890185139426752
0	2	0	2	0	-1832510393013930048
1	0	1	2	0	409337748600405214176
0	1	1	2	0	2230154666968254912
0	0	2	2	0	22804596938176057728
1	0	0	3	0	-9816924213482525568
0	1	0	3	0	1383573530729263680
0	0	1	3	0	-205930267762765824
0	0	0	4	0	-244609659921920832
3	0	0	0	0	3388561359576794188266780
2	1	0	0	0	214669798036363243322136
1	2	0	0	0	1074455040276930123288
0	3	0	0	0	-8750625041169123552
2	0	1	0	0	1149590050546197053536416
1	1	1	0	0	39493566932382650624256
0	2	1	0	0	99850615821695750544
1	0	2	0	0	124048587291237378706464
0	1	2	0	0	2080814431925842022880
0	0	3	0	0	4485093125433845995584
2	0	0	1	0	212839775898640128789984
1	1	0	1	0	21413351078477993067408
0	2	0	1	0	241871862733335391968
1	0	1	1	0	81193135735519929148608
0	1	1	1	0	2845647076931525992032
0	0	2	1	0	5246075290324851885024
1	0	0	2	0	-12262597612622643167136
0	1	0	2	0	-89748518753448343800
0	0	1	2	0	-1537088324513918181408
0	0	0	3	0	12748772874137221152
2	0	0	0	0	-25279975538525651006618163
1	1	0	0	0	-990701668737611021269080
0	2	0	0	0	-3403445417506664436960
1	0	1	0	0	-5918140262185329487199256
0	1	1	0	0	-111765854218036529603232
0	0	2	0	0	-348725473971165083595312
1	0	0	1	0	-1706769616494631540514616
0	1	0	1	0	-67018344188532990280200
0	0	1	1	0	-245088406502276133202848
0	0	0	2	0	38172287526905275786764
1	0	0	0	0	115208721514844797844974140
0	1	0	0	0	2393095749498457291893402
0	0	1	0	0	14428954948154866739481816
0	0	0	1	0	4527058581546764601474468
0	0	0	0	0	-248233453270534084358257209
11	0	0	0	1	-4258627547328
10	0	1	0	1	-473731513200
10	0	0	0	1	-68886491564340
9	1	0	0	1	-28755211679568
9	0	1	0	1	-134993007592488
8	1	1	0	1	-3624543093600
8	0	2	0	1	-24463863228096
7	0	3	0	1	-1290144542400
9	0	0	1	1	24159510225216
8	0	1	1	1	2706460905600
9	0	0	0	1	17109992169852102
8	1	0	0	1	167089907604528
7	2	0	0	1	-66286839140208
8	0	1	0	1	5377549861287216
7	1	1	0	1	-505988047732752
6	2	1	0	1	-9016672075200
7	0	2	0	1	-581571758776176
6	1	2	0	1	-104807682321408
6	0	3	0	1	-275032509034176
5	1	3	0	1	-5831395804800
5	0	4	0	1	-26758731760128
4	0	5	0	1	-877515379200
8	0	0	1	1	-310940874701280
7	1	0	1	1	137856133865952
7	0	1	1	1	393722795523456
6	1	1	1	1	17291825179200
6	0	2	1	1	79267568236416
5	0	3	1	1	4214681424000
7	0	0	2	1	-52031375021952
6	0	1	2	1	-5856096657600
8	0	0	0	1	-227322297841621338
