RESIDUE TABLE  d mod 165 = lcm(3,5,11)
cols: d165 | d3 d5 d11 | C11 branch (#def/4) | C5 exact (#def/8) | C5 D10 (#def/2) | C3 (#def/8) | collapsed count | verdict
 57 | 0 2  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 58 | 1 3  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 59 | 2 4  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 60 | 0 0  5 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 61 | 1 1  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 62 | 2 2  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 63 | 0 3  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 64 | 1 4  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 65 | 2 0 10 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 66 | 0 1  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 67 | 1 2  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 68 | 2 3  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 69 | 0 4  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 70 | 1 0  4 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 71 | 2 1  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 72 | 0 2  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 73 | 1 3  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 74 | 2 4  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 75 | 0 0  9 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 76 | 1 1 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 77 | 2 2  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 78 | 0 3  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 79 | 1 4  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 80 | 2 0  3 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 81 | 0 1  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 82 | 1 2  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 83 | 2 3  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 84 | 0 4  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 85 | 1 0  8 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 86 | 2 1  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 87 | 0 2 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 88 | 1 3  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 89 | 2 4  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 90 | 0 0  2 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 91 | 1 1  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 92 | 2 2  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 93 | 0 3  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 94 | 1 4  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 95 | 2 0  7 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 96 | 0 1  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 97 | 1 2  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 98 | 2 3 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
 99 | 0 4  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
100 | 1 0  1 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
101 | 2 1  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
102 | 0 2  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
103 | 1 3  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
104 | 2 4  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
105 | 0 0  6 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
106 | 1 1  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
107 | 2 2  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
108 | 0 3  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
