A	u	Z	coefficient
6	5	0	-73725715946014549307424
6	4	4	544103373081600
6	4	3	-79612623562355712
6	4	2	803048340379104751248
6	4	1	494197742109383769600
6	4	0	-653320016321513038293816
6	3	4	5740743402086400
6	3	3	-6344102776994719488
6	3	2	3148920858093519086208
6	3	1	32814028118618412525504
6	3	0	-2120694629016050454184200
6	2	4	24416429313945600
6	2	3	-31072613506310428416
6	2	2	6770556454316316913152
6	2	1	94849049153848270533552
6	2	0	-3606796783287881838819792
6	1	4	46683872592998400
6	1	3	-61928665637543585280
6	1	2	7824197879305983438336
6	1	1	99659700269816784604416
6	1	0	-3241901168938411975224864
6	0	4	35695117098777600
6	0	3	-46891868015718708480
6	0	2	3900159305419176086976
6	0	1	29670390827048473554384
6	0	0	-1222840466839472408680716
5	12	2	-16333265178720
5	12	1	3658536226139760
5	12	0	33264934266922848
5	11	2	368262389575296
5	11	1	-35908741273681440
5	11	0	-479483213143177152
5	10	3	-4265495686656
5	10	2	4430256335999136
5	10	1	62763838808020992
5	10	0	-19036396507196243736
5	9	3	29555965086336
5	9	2	-24824665946327184
5	9	1	790253075401589592
5	9	0	-109438525909556952480
5	8	3	3370261730062464
5	8	2	-231941959450878240
5	8	1	-127935413553226206672
5	8	0	-3837864227638149960048
5	7	3	4958229886130304
5	7	2	-397047698593022592
5	7	1	-1520738195885124905952
5	7	0	-64618918659285577530048
5	6	4	140212173616128
5	6	3	-489261757133812032
5	6	2	-150977373531495092352
5	6	1	-13101155163710007675552
5	6	0	-510156009234565606609632
5	5	4	1864270040352768
5	5	3	-3467870420843809152
5	5	2	-2238604822091522402208
5	5	1	-114825898703338610389632
5	5	0	-2544506385930740796545520
5	4	4	-26562752418447360
5	4	3	1881898062614771904
5	4	2	-13573758930589498122864
5	4	1	-668947413192133909349088
5	4	0	-9088078140623371786371288
5	3	4	-353066361879951360
5	3	3	82165499782711329024
5	3	2	-44809839598363278678144
5	3	1	-2253089902640849076849552
5	3	0	-23043346338288464373861288
5	2	4	-1541086195375272960
5	2	3	343862366774907045888
5	2	2	-85940392496650300401408
5	2	1	-4294609854463234742652576
5	2	0	-38153879020720481304450168
5	1	4	-2935156038890084352
5	1	3	632246034813080606208
5	1	2	-90935542267183152039168
5	1	1	-4324914022974666308239680
5	1	0	-36207138707334490896167616
5	0	4	-2140965493051594752
5	0	3	460177967912913672192
5	0	2	-41465734844422922600832
5	0	1	-1783415556632694949751808
5	0	0	-14832085013246326395536280
4	12	3	-259309195776
4	12	2	350393230145880
4	12	1	-24124701285140184
4	12	0	-550869746558149530
4	11	3	8933650755840
4	11	2	-6129512625043872
4	11	1	111388530098141136
4	11	0	4027932731182378176
4	10	3	111184055571456
4	10	2	-52084600243579008
4	10	1	-3613604807709132480
4	10	0	103441000319014508424
4	9	3	-712259506206720
4	9	2	281125421005141296
4	9	1	-6362344987713592344
4	9	0	695138775096100583664
4	8	4	22709961964800
4	8	3	-82493148348753120
4	8	2	-10310737103615933424
4	8	1	409875545807870428224
4	8	0	27300909541829785204320
4	7	4	-80123004223488
4	7	3	-280390645755271872
4	7	2	-91792821682232565408
4	7	1	5722968781537456471488
4	7	0	481239369391487845926096
4	6	4	-10839584500803072
4	6	3	3507437411254950624
4	6	2	1376746521991907009256
4	6	1	114636919415853555223632
4	6	0	4541316004315105765805628
4	5	4	-131060751387844608
4	5	3	-9737897678466286464
4	5	2	18731747447495470228320
4	5	1	1180122201596755084463136
4	5	0	26946582893808643668825792
4	4	5	-229378438656000
4	4	4	220782389018068224
4	4	3	-347824202985226816704
4	4	2	90104167791776022304176
4	4	1	6108721310931233705622144
4	4	0	103309529605968271914797148
4	3	5	-2484797036544000
4	3	4	7351782650787695616
4	3	3	-1681724617067912887296
4	3	2	240388490347189144678656
4	3	1	17775050776022535498569808
4	3	0	253631444549416246210075200
4	2	5	-10094283887616000
4	2	4	35393710133844412416
4	2	3	-3687024263262925176576
4	2	2	404404772675830637207040
4	2	1	30052763678889175093142256
4	2	0	385151389364660373542900772
4	1	5	-18222933325824000
4	1	4	69717809320856008704
4	1	3	-4110119047232766872064
4	1	2	419077681797215017937664
4	1	1	27885972114164840094753984
4	1	0	330827028360990302127433680
4	0	5	-12343172138496000
4	0	4	51218038801922317056
4	0	3	-2023054500079312876800
4	0	2	204345802877603397931296
4	0	1	11059893612875850778517616
4	0	0	123642727850811089810942271
3	12	3	8806785160320
3	12	2	-4252372744601376
3	12	1	14775585180221952
3	12	0	2249244588409528248
3	11	3	-257278121807616
3	11	2	52051990343574528
3	11	1	765241644621694464
3	11	0	-10178342564147890272
3	10	4	1117913778432
3	10	3	-2255642262273024
3	10	2	313016468650441920
3	10	1	40726281655650924288
3	10	0	-135215302501985743008
3	9	4	-10762011869184
3	9	3	14152727774147616
3	9	2	-863483910837508800
3	9	1	161937439788248216424
3	9	0	-797422356037290394728
3	8	4	-1351860602966784
3	8	3	894448339103121984
3	8	2	178164068248041195456
3	8	1	5069351742821329297680
3	8	0	-46722008586920991333552
3	7	4	1994013704918016
3	7	3	5959033642696061952
3	7	2	2060722221806585545920
3	7	1	79967619766056356777376
3	7	0	-917864788091910905263824
3	6	5	-8522102845440
3	6	4	373898697385432320
3	6	3	85183970420367274752
3	6	2	8022296143456015824720
3	6	1	328397183933140331775936
3	6	0	-10233916821094344618707820
3	5	5	-198065424752640
3	5	4	3837488840852709888
3	5	3	1388855923560150799104
3	5	2	36331823050339536294048
3	5	1	-330939462288045764540736
3	5	0	-66887570149842504586498488
3	4	5	14397945824563200
3	4	4	7895573300350179072
3	4	3	9685735122860851061376
3	4	2	288205682816623266996336
3	4	1	-5544290745749129495507424
3	4	0	-259424631193674679001569404
3	3	5	166995992792678400
3	3	4	-46143055453003840512
3	3	3	33296265013689642608640
3	3	2	1260175389104344644003456
3	3	1	-15184120926718574846049024
3	3	0	-607057271767066029922795644
3	2	5	691214537840947200
3	2	4	-301744414773067788288
3	2	3	60246795761505525487104
3	2	2	2686222924382509739199360
3	2	1	-18427537650175383289988016
3	2	0	-848468105454222689323339008
3	1	5	1258522402159042560
3	1	4	-643196465484131082240
3	1	3	54378167228347785444864
3	1	2	2717163206881475721744384
3	1	1	-10342803694622838717751488
3	1	0	-661123622342333827480188528
3	0	5	856461834311823360
3	0	4	-492389683863118193664
3	0	3	18736221574616090992128
3	0	2	1022329212773470669768320
3	0	1	-2368376689816416395851920
3	0	0	-225333185851981516133415060
2	12	4	87853574592
2	12	3	-133944406646112
2	12	2	31279166987271696
2	12	1	957563391652180632
2	12	0	4324936631118472512
2	11	4	-3634138109952
2	11	3	3404978335884096
2	11	2	-218617719183303552
2	11	1	-8525537908803949104
2	11	0	-44349073285355190000
2	10	4	13170077328384
2	10	3	28919378266240896
2	10	2	-193983752574855936
2	10	1	-269463595867919659008
2	10	0	-2036075714556239263248
2	9	4	-48699654665472
2	9	3	-227489127994376352
2	9	2	-15175729891495941696
2	9	1	-1743644895746402543400
2	9	0	-13692159130448748711960
2	8	5	-1488919117824
2	8	4	32024152672773696
2	8	3	-2795148778833263232
2	8	2	-1322715462056430874704
2	8	1	-63889610057169549564528
2	8	0	-430850083389753256995240
2	7	5	37889073340416
2	7	4	3790834602702336
2	7	3	-63258002423101514880
2	7	2	-20717011344764066860512
2	7	1	-1120211771861822790084768
2	7	0	-7694951553994682662364952
2	6	5	78961690847232
2	6	4	-6654604620942548352
2	6	3	-2011422111910661537856
2	6	2	-224819178788372980781016
2	6	1	-9922189983072173148658032
2	6	0	-66347997364539228234283722
2	5	5	8655674563141632
2	5	4	-58945870717713870336
2	5	3	-21949674888427533483264
2	5	2	-1715528610371478647166048
2	5	1	-55202781694927555821292992
2	5	0	-344624138664340803047479584
2	4	5	-322117316867082240
2	4	4	-187294706532175636224
2	4	3	-114265323300127602022272
2	4	2	-8119336082138062530996240
2	4	1	-204132847170183101577727920
2	4	0	-1175057907690569491370793132
2	3	5	-4165903731324985344
2	3	4	-284711970930998565888
2	3	3	-340024470534372594196224
2	3	2	-23246593924817082533622912
2	3	1	-496043898121603259419219344
2	3	0	-2653841818442725385209818372
2	2	5	-17911154678020614144
2	2	4	-70922425634916378624
2	2	3	-603192398691761778117888
2	2	2	-39413917960245763449177600
2	2	1	-754470208889124777263038824
2	2	0	-3802031699330818208893815936
2	1	5	-33289372397199679488
2	1	4	552259358147743838208
2	1	3	-596496311546847317531136
2	1	2	-36491126871674546409081600
2	1	1	-647348416276400123011259328
2	1	0	-3103858066727566023835722768
2	0	5	-22950594619551479808
2	0	4	735116023706632164864
2	0	3	-251884991436808253688576
2	0	2	-14195753723223879280623360
2	0	1	-238067470938798555236221176
2	0	0	-1090523684256198150470427630
1	12	4	-1578609352512
1	12	3	1007789169625920
1	12	2	-134610631219354752
1	12	1	-6506299357144049232
1	12	0	-52990300647255727404
1	11	4	58405791052800
1	11	3	-21955447644204672
1	11	2	196339695253118208
1	11	1	36899205884768611296
1	11	0	345115580981150431584
1	10	5	-73466403840
1	10	4	-251364382408512
1	10	3	-234680599221550848
1	10	2	-4034040264700126560
1	10	1	1116445211389697948352
1	10	0	11971003131112756284972
1	9	5	2321538361344
1	9	4	2949824883643776
1	9	3	2084369207534440416
1	9	2	132308413644985893648
1	9	1	7795566877395643862472
1	9	0	68607286324770818951172
1	8	5	8830661741568
1	8	4	-363752822327939712
1	8	3	-12334635188192380608
1	8	2	5357412105878229454368
1	8	1	290915923044180847762224
1	8	0	2433505691671831688186880
1	7	5	-651176817076224
1	7	4	-336951457220044800
1	7	3	335738121991744936320
1	7	2	105321110741087072942592
1	7	1	5440558441554499534483968
1	7	0	45628429797910176649288560
1	6	5	-266345100481536
1	6	4	60757230394786328064
1	6	3	15434819662894059097152
1	6	2	1414720392585994926022752
1	6	1	52772585757532291253266272
1	6	0	411751871217897273260744976
1	5	5	-136528524954740736
1	5	4	472783884273654861312
1	5	3	146521614135822077962368
1	5	2	10708602597108565517789856
1	5	1	308645953270038915351851232
1	5	0	2196345858187873446988476840
1	4	5	3250205411536622592
1	4	4	1414099427655675241728
1	4	3	639738796681392233927616
1	4	2	45804487575991225670662320
1	4	1	1133041781315413308051667584
1	4	0	7444285459000627399476018012
1	3	5	46096433230695966720
1	3	4	3579772993674381499392
1	3	3	1602592252477598182793472
1	3	2	115957407399354859037870592
1	3	1	2620933375013441255461568328
1	3	0	16208452821276392479476722532
1	2	5	203115262443283943424
1	2	4	10586235044754831172608
1	2	3	2501713917984400725362688
1	2	2	174855113911896909387369408
1	2	1	3714559760973523909694854032
1	2	0	21956949577188178117633017576
1	1	5	381919672205937524736
1	1	4	19021287529815361247232
1	1	3	2343409357976813996259840
1	1	2	146786845047575419218814848
1	1	1	2953620604577637164808160416
1	1	0	16840948948937350081062332400
1	0	5	265089145642031480832
1	0	4	12768666895370055840768
1	0	3	1008548730906058925328384
1	0	2	53204442849028480725900288
1	0	1	1011658062651041287261581120
1	0	0	5584910500891972152031338396
0	12	5	-11019960576
0	12	4	11296148337936
0	12	3	-3553718264043552
0	12	2	301348633380899544
0	12	1	13650178748497133832
0	12	0	96797405198261276289
0	11	5	528958107648
0	11	4	-412840783058688
0	11	3	74251196760730176
0	11	2	236116001890552608
0	11	1	-69452997448891603536
0	11	0	-594933071521577327352
0	10	5	-7802132087808
0	10	4	3000561700465728
0	10	3	637527216571115904
0	10	2	6143723338269002112
0	10	1	-2111917322793110494464
0	10	0	-19361010256636967924148
0	9	5	9829804833792
0	9	4	-26882681396985216
0	9	3	-6216015683315040480
0	9	2	-283708106903505000816
0	9	1	-12795281796884107675176
0	9	0	-97697924541745656437628
0	8	6	176319369216
0	8	5	404289293651712
0	8	4	1480831702527350592
0	8	3	54776343970939419360
0	8	2	-9974514080165679359568
0	8	1	-493533688694868848967336
0	8	0	-3643899197245906064278032
0	7	6	-5642219814912
0	7	5	1912844756782080
0	7	4	2600156986996898304
0	7	3	-810100280771818045632
0	7	2	-218454674082980667871968
0	7	1	-9562523064513925627314864
0	7	0	-69788389722593935372981848
0	6	6	47253590949888
0	6	5	-25099480966399488
0	6	4	-219560299427784940416
0	6	3	-40088961749808390039840
0	6	2	-2959033888010217038284296
0	6	1	-92546302466013723701225280
0	6	0	-627390023926324889063697138
0	5	6	129771055742976
0	5	5	768104035301468160
0	5	4	-1595744470578133559808
0	5	3	-357502230136655017762176
0	5	2	-21429070560240220191957984
0	5	1	-527966683420349676427621488
0	5	0	-3291268042569933142844364864
0	4	6	-2315073317806080
0	4	5	-11403768832122792960
0	4	4	-3539956746897933276672
0	4	3	-1424721082499648873581248
0	4	2	-86576142319018913458196640
0	4	1	-1869741058333874599717188048
0	4	0	-10884586988942676274712122368
