A	u	Z	coefficient
6	6	0	102403505032232604330708
6	5	3	3137515733549952
6	5	2	149092821527250704184
6	5	1	59737809239935672292064
6	5	0	341011873138150137112236
6	4	3	1382215709140139520
6	4	2	187462480811349648816
6	4	1	375885226257922912227408
6	4	0	2477477018658867122773440
6	3	4	198858136320000
6	3	3	11353539540000873600
6	3	2	-1871176987598028839712
6	3	1	1275539804792592920259840
6	3	0	11375680530565438363666260
6	2	4	1292918008320000
6	2	3	39459356329456662912
6	2	2	-9831198069186183112896
6	2	1	2466575143975042042000752
6	2	0	25573119116690471161230612
6	1	4	3425333287680000
6	1	3	64462327999696115712
6	1	2	-19168308166470272116992
6	1	1	2591119580051268587434608
6	1	0	27367249468763556818752320
6	0	4	3660773460480000
6	0	3	41532861876591750912
6	0	2	-14148255822623682113664
6	0	1	1165373384849601862017312
6	0	0	10945867776154523100489672
5	12	2	5737777158240
5	12	1	-9687706268539680
5	12	0	730726760421269496
5	11	2	-269948457528768
5	11	1	239071120946923104
5	11	0	-7564218468738229368
5	10	2	-3265128539839872
5	10	1	1495324082186452512
5	10	0	15431812418917450008
5	9	3	-12423588373440
5	9	2	80498826174221064
5	9	1	-15492711757435824924
5	9	0	-133495273504082604744
5	8	3	-582282007601472
5	8	2	3036633142031676504
5	8	1	95820562871668677276
5	8	0	-25597402450435082969280
5	7	3	13292934912090432
5	7	2	789429311806041216
5	7	1	-320410320725537492112
5	7	0	-324357560677222314643008
5	6	3	445801987241292096
5	6	2	-285880234023300880800
5	6	1	-76087217894813254295712
5	6	0	-2937760576054335252013392
5	5	4	321683079628800
5	5	3	3137381534019503232
5	5	2	-1409775638716794085200
5	5	1	-909732558107417336495280
5	5	0	-22143536789919695121544632
5	4	4	11335770878284800
5	4	3	-27180704849547391488
5	4	2	2341295499706050987360
5	4	1	-4874264568672290045561232
5	4	0	-111434086333806073880267088
5	3	4	76390053800371200
5	3	3	-327485996587395735552
5	3	2	32242367863995533974368
5	3	1	-14733307503316968831137160
5	3	0	-341696827683998526003285636
5	2	4	219910610049868800
5	2	3	-1276051953568185230976
5	2	2	103845263256853628190912
5	2	1	-26402324209442786712960216
5	2	0	-615657318448735723535439660
5	1	4	280217897567539200
5	1	3	-2228753894297073184512
5	1	2	161527323286669670589312
5	1	1	-26477216036207319419785728
5	1	0	-601434432754388493254038224
5	0	4	104974117318425600
5	0	3	-1504890644068595877120
5	0	2	106955187487166134222848
5	0	1	-11544058176293866586092128
5	0	0	-245860732253622588008109336
4	12	2	-291787817098896
4	12	1	160549567095514032
4	12	0	-4060520007609565044
4	11	3	-305497795968
4	11	2	11315493011415456
4	11	1	-2994081553242790632
4	11	0	21030322487456625516
4	10	3	-19579544892288
4	10	2	71215048878083568
4	10	1	-13887844288727070600
4	10	0	-448034439289717365408
4	9	3	896125745769408
4	9	2	-1520545122981728424
4	9	1	89981232258260651796
4	9	0	433698620702556515904
4	8	3	50054167303580736
4	8	2	-50532444744103245960
4	8	1	-5348929342321213831980
4	8	0	81710596489064867810568
4	7	4	23822161689600
4	7	3	-497339697322105632
4	7	2	-212160741497729472672
4	7	1	-38266540297176352983264
4	7	0	1312031755023512205184272
4	6	4	252496683357696
4	6	3	-18759469443540310080
4	6	2	-814399779795180533928
4	6	1	401111374044774409834752
4	6	0	19772870380533886865348052
4	5	4	-20597736734636544
4	5	3	-158828052359516080032
4	5	2	-29979513909721585162584
4	5	1	5266835973303805492702992
4	5	0	170349320014885450278468036
4	4	4	-897362922731051520
4	4	3	-89940109535091225792
4	4	2	-268390139247614361451824
4	4	1	23857835410352067911570592
4	4	0	803945495796199702589057112
4	3	4	-7030706674482616320
4	3	3	3711270218389029668736
4	3	2	-997362656143243169594400
4	3	1	58975279967859673392616824
4	3	0	2209121843020466857986285936
4	2	4	-23412898743536632320
4	2	3	18020699140971151475712
4	2	2	-1860628332507914397129984
4	2	1	90493199191057124092172904
4	2	0	3588029573293555399298079180
4	1	4	-36339243143362136064
4	1	3	34315532544490284013056
4	1	2	-1741351306427381405260800
4	1	1	86131110251684400123535056
4	1	0	3235059794165822410293206712
4	0	4	-21297324524770013184
4	0	3	24402417883876791048960
4	0	2	-671471827010938828431360
4	0	1	39782117531198945404217952
4	0	0	1259944377752027063061096876
3	12	3	-2556018633600
3	12	2	6280680515813568
3	12	1	-1670055345020706336
3	12	0	759311162611792848
3	11	3	120302052581376
3	11	2	-211813815071826720
3	11	1	21645241046326338624
3	11	0	114362357975793933192
3	10	3	-207348108951168
3	10	2	-1145426915293803360
3	10	1	66123043558744572000
3	10	0	4464489797220118515768
3	9	4	401208194304
3	9	3	-22918667169991824
3	9	2	19145420900931060576
3	9	1	182554542571416539436
3	9	0	17962195407265393850340
3	8	4	30577125424896
3	8	3	-1597041155747210544
3	8	2	407763542600679072096
3	8	1	67429881938162158118244
3	8	0	639412378515231242824188
3	7	4	-2613901180598784
3	7	3	9000117209568552192
3	7	2	4562421601016901595680
3	7	1	774055384212343716627696
3	7	0	9353703912938788936174344
3	6	4	-5239490049755136
3	6	3	430788995536465140480
3	6	2	85829527661058287843328
3	6	1	4282227543045052432868544
3	6	0	42177153094648780516675344
3	5	5	27753974784000
3	5	4	507655514915979264
3	5	3	3631237657011838429056
3	5	2	977920285141847576350656
3	5	1	23419162487868410035578096
3	5	0	31504705718101845766253856
3	4	5	3265173504000
3	4	4	27877621379922911232
3	4	3	10798648812094477031424
3	4	2	5584241258573866088761728
3	4	1	126466368588211099690061712
3	4	0	-236370162175310546967929760
3	3	5	-1995021010944000
3	3	4	238145241969204277248
3	3	3	1141399608590357473536
3	3	2	17388941625785224025419680
3	3	1	440335217095583873628673152
3	3	0	-579230554408462935772318494
3	2	5	-10886088462336000
3	2	4	843007363039704006144
3	2	3	-78665721573529801764864
3	2	2	30222554761616807961253440
3	2	1	851616103021299443330832096
3	2	0	-248554823971363970280459354
3	1	5	-22116652729344000
3	1	4	1381243783542962374656
3	1	3	-196641729960562366914816
3	1	2	27400648424918610929765760
3	1	1	836233277833421616879147888
3	1	0	400950661947329900829690288
3	0	5	-15813235279872000
3	0	4	864560319670687306752
3	0	3	-158720205209114486861568
3	0	2	9947557327581523767595392
3	0	1	321594024619980730276780752
3	0	0	290617098383227628692179612
2	12	3	88320392366400
2	12	2	-73010108138234976
2	12	1	11067960035762786160
2	12	0	142256584356414863544
2	11	4	89996344704
2	11	3	-3755456702878176
2	11	2	2178552813545978496
2	11	1	-85031096900773993848
2	11	0	-1287605382261647645952
2	10	4	-4492470594816
2	10	3	17841397750863264
2	10	2	12306901832417856672
2	10	1	-33777454878434251224
2	10	0	-27910753379229841293888
2	9	4	87096258412416
2	9	3	234339832577451888
2	9	2	-169845452967842194176
2	9	1	-6933398205234183979140
2	9	0	-201965137976174753651220
2	8	4	-2382782404465152
2	8	3	26119557822075692976
2	8	2	-981795063060065984832
2	8	1	-444851968375487218119156
2	8	0	-8029900600669874402140860
2	7	5	1273417666560
2	7	4	77572437477297408
2	7	3	-85998100954519488960
2	7	2	-46490188802909402521152
2	7	1	-6990595544410530761802384
2	7	0	-136850354889235178703037992
2	6	5	11411781396480
2	6	4	67604921706167424
2	6	3	-5645380909081862825856
2	6	2	-1196401179561196621541976
2	6	1	-72896815187399764447915824
2	6	0	-1212825035893777161933238218
2	5	5	-1642855722670080
2	5	4	-5844061162424022912
2	5	3	-44840524641134896330560
2	5	2	-11318967990104917021001208
2	5	1	-513378481729355551239886080
2	5	0	-6774735864281246133891834798
2	4	5	-1002571524403200
2	4	4	-432747584521827975936
2	4	3	-158764595953428222353280
2	4	2	-54131230544190009067166256
2	4	1	-2265231186689131961655430608
2	4	0	-24956612283272898584399650128
2	3	5	104376168815616000
2	3	4	-3963692356345689864192
2	3	3	-363024464257586609216640
2	3	2	-151039561013532245796730848
2	3	1	-6148178888526559873074575304
2	3	0	-59947612985977499290311265590
2	2	5	570282519009576960
2	2	4	-14636708291140729993728
2	2	3	-592761363024954580186752
2	2	2	-253682608758935968669642560
2	2	1	-10009190754539164621750712976
2	2	0	-89736764706646195265866215054
2	1	5	1152993153646356480
2	1	4	-24750265862153808414720
2	1	3	-558952073143298010989568
2	1	2	-239475856765015392481625472
2	1	1	-8983315745976554517280981608
2	1	0	-75652505471559945970043377344
2	0	5	824553220109598720
2	0	4	-15954535993446638005248
2	0	3	-167387078552826299966208
2	0	2	-97433973957543711476372352
2	0	1	-3414459572673034276023465456
2	0	0	-27332255657614038814451823012
1	12	4	399473570880
1	12	3	-1090595908384128
1	12	2	461403929646129888
1	12	1	-44334048703477005792
1	12	0	-836077890962058293340
1	11	4	-20730382503552
1	11	3	42941017538155008
1	11	2	-12286995570319340448
1	11	1	141571129768186190688
1	11	0	5335520528710572624864
1	10	4	381406345515648
1	10	3	-223838985687512832
1	10	2	-79364194161127236000
1	10	1	-527846470674577956000
1	10	0	108648789684888871739376
1	9	5	-205705930752
1	9	4	-2543913819127296
1	9	3	-866723918144272560
1	9	2	980588649453966252216
1	9	1	39835901392465268108556
1	9	0	828419832855350131808610
1	8	5	29386561536
1	8	4	19266541448788800
1	8	3	-218359866767653115856
1	8	2	-4466248194792639173400
1	8	1	1664513539320657976460244
1	8	0	34037142619294403220803202
1	7	5	132430539561984
1	7	4	-790980569820476928
1	7	3	419177861074164047040
1	7	2	239018445302495098777920
1	7	1	31734265077010315329145632
1	7	0	616945832403568709302988280
1	6	5	-2618856897684480
1	6	4	-13369496983847424
1	6	3	39833647865712167122368
1	6	2	7162597545066970869517344
1	6	1	384009127583389356117834576
1	6	0	5855676815607514498023144264
1	5	5	29727563196063744
1	5	4	23110704842629167360
1	5	3	292879939743666453742848
1	5	2	61856541140444513651297520
1	5	1	2697860797228205888678797248
1	5	0	33710502067559856520366574268
1	4	5	133876887347662848
1	4	4	3344141799392858998272
1	4	3	957694337765305990507008
1	4	2	261035941976626743595124640
1	4	1	11056495518929120814125578512
1	4	0	122343573615524539403739251832
1	3	5	-1723004674683208704
1	3	4	32891491195028442832896
1	3	3	2427065131098959345134080
1	3	2	639673229623035762570481632
1	3	1	27261010096929501280205275332
1	3	0	280625054817687286488854954922
1	2	5	-11769216614383666176
1	2	4	125824619911954748226048
1	2	3	5878127922128447492094336
1	2	2	966095713583182632105531648
1	2	1	40310894308991709787440394284
1	2	0	395013213063483676212726324054
1	1	5	-25707782202463457280
1	1	4	217719876515010795177984
1	1	3	9126083540313555982053120
1	1	2	860078682691019851671512064
1	1	1	33246571866581426482684513728
1	1	0	312100170424691638923766843776
1	0	5	-19223941432910708736
1	0	4	142920933464327016591360
1	0	3	5684336698200283595347200
1	0	2	348667235647268060617020864
1	0	1	11836873040313842389480546800
1	0	0	106185581906497209039383692452
0	12	4	-6616108830816
0	12	3	5448061884513600
0	12	2	-1343744280757484496
0	12	1	88744251288756620304
0	12	0	1553244637423793242698
0	11	5	-22039921152
0	11	4	335661111669600
0	11	3	-209837715741338400
0	11	2	33778307567513124000
0	11	1	-141628946762401041240
0	11	0	-8965408572848523480894
0	10	5	1146075899904
0	10	4	-5994486629674560
0	10	3	1516958352501461856
0	10	2	180270758027650132656
0	10	1	357415244783045943912
0	10	0	-190322114632584292961064
0	9	5	-19417170534912
0	9	4	35045618014012032
0	9	3	-3827919558932404272
0	9	2	-2349086122440996053112
0	9	1	-71054260619851335576420
0	9	0	-1239215361031170514261314
0	8	5	196552016833536
0	8	4	29668667935095360
0	8	3	722545893252791459280
0	8	2	17122564675072496911464
0	8	1	-2851248265592647255877124
0	8	0	-53113793873725613138633622
0	7	5	-2823247779807744
0	7	4	2174297013134472960
0	7	3	-637543170114319471392
0	7	2	-514339870966932224870496
0	7	1	-58680081613407346792258680
0	7	0	-994408944658644337009478280
0	6	5	33835731032392704
0	6	4	-8201235658001680512
0	6	3	-116929918498004543558592
0	6	2	-15921315536093730053046936
0	6	1	-713228948495506943690467464
0	6	0	-9413298184835525929845261750
0	5	5	-141813382141453824
0	5	4	40144782332019558528
0	5	3	-806471685960535427458464
0	5	2	-131061141228806846582602248
0	5	1	-4839587763898004455907653128
0	5	0	-52966342822127208833778255342
0	4	5	-1859131132703013888
0	4	4	-10018257645757528325376
0	4	3	-2069878484373253162568640
0	4	2	-513480244263852772450026288
0	4	1	-18912013388652321221842979784
0	4	0	-186043393011894869540453627736
0	3	5	8581666158458422272
0	3	4	-109353053920722918644736
0	3	3	-3097338745987606669870464
0	3	2	-1127924153589097243031986656
0	3	1	-44090655697345113602018259228
0	3	0	-410954101829701284136635825714
0	2	5	86749412867258803200
0	2	4	-436929712795527980230656
0	2	3	-6632893613731388315827968
0	2	2	-1478769866444211592503583008
0	2	1	-61179212975211742427756808948
0	2	0	-555417493322066117796954457062
0	1	5	210359679116350113792
0	1	4	-775800858057202765486080
0	1	3	-13043364152709643227961344
0	1	2	-1137740979179647847341190016
0	1	1	-47089985741889178497301492776
0	1	0	-420604072916239947737273533416
0	0	5	166137972275551666176
0	0	4	-518633902076140244837376
0	0	3	-9741751632846788556678912
0	0	2	-413549909396602568169940800
0	0	1	-15628204607744402655679379088
0	0	0	-137086689604289096244268592424
