A	u	Z	coefficient
6	5	3	-13639717951094016
6	5	2	-453845171202198732288
6	5	1	-69748897204604791171296
6	5	0	-1523255911789904712352872
6	4	4	790465248921600
6	4	3	-7145009357038557696
6	4	2	-3827512059971531529024
6	4	1	-511032731882571209315232
6	4	0	-1427436320102927028921888
6	3	4	10663627354214400
6	3	3	-66792237113993485824
6	3	2	-18878202385501506127488
6	3	1	-2071899351719491126381632
6	3	0	4456600347971290303797336
6	2	4	27701874103449600
6	2	3	-219857378830663473792
6	2	2	-57103354034777926177920
6	2	1	-4368752390556375018385392
6	2	0	12012267150456392675571840
6	1	4	12940209113702400
6	1	3	-308807444719468694016
6	1	2	-94588586101396052494848
6	1	1	-4390802802472772963334240
6	1	0	7876544726889407505051072
6	0	4	-48992078162534400
6	0	3	-130312230104243955456
6	0	2	-66627939432903399982080
6	0	1	-1475434287784155111772464
6	0	0	-1726301894870963178143784
5	12	2	-32666530357440
5	12	1	7317072452279520
5	12	0	66529868533845696
5	11	2	1312207723714176
5	11	1	-121123500518426256
5	11	0	-9617986402275021984
5	10	3	-10212510378240
5	10	2	2243841432052320
5	10	1	-1795013947884670416
5	10	0	77685197728620427344
5	9	3	287776384222464
5	9	2	-202434223270187088
5	9	1	-9104665023287630280
5	9	0	495506415351220963344
5	8	3	6143360798413440
5	8	2	-2891686618034673120
5	8	1	-33678873235977048936
5	8	0	4332882566151044914104
5	7	3	-80909184967668864
5	7	2	-38601660015902423520
5	7	1	812900636204177611008
5	7	0	376870873582042861015728
5	6	4	295136493447168
5	6	3	-2281418604183379968
5	6	2	12407280384060073728
5	6	1	60692645703691293733152
5	6	0	5330754476094122074075392
5	5	4	-2018919178616832
5	5	3	-5621922577015371648
5	5	2	5982331752436721357088
5	5	1	1129135919893210271491488
5	5	0	37915281038947449468560976
5	4	4	-103356721786152960
5	4	3	77534743045099056768
5	4	2	58737531189266980439040
5	4	1	8860240513065607401109248
5	4	0	172249459931529626727060432
5	3	4	-1072937368461404160
5	3	3	808447457782901848320
5	3	2	281737030444060562605440
5	3	1	34976658819882206344291056
5	3	0	513429540180709345379888472
5	2	4	-3420744259253391360
5	2	3	2523274915428780535296
5	2	2	785111222552971133803392
5	2	1	73883534067543669255613008
5	2	0	952622456729445104967375696
5	1	4	-4186600905381414912
5	1	3	3114115130196851332608
5	1	2	1193303023810779225374208
5	1	1	79940321964724102114238784
5	1	0	993358320000397824073342392
5	0	4	-635133456721354752
5	0	3	933749484632784728064
5	0	2	769039923906408124157184
5	0	1	34469558270001632050416864
5	0	0	448065798140697458647983624
4	12	3	-518618391552
4	12	2	700786460291760
4	12	1	-48249402570280368
4	12	0	-1101739493116299060
4	11	3	27383717713536
4	11	2	-24197970464847792
4	11	1	-299609318948450184
4	11	0	70973460685390563936
4	10	3	-52431067736064
4	10	2	-32421382355199744
4	10	1	23619903194498551344
4	10	0	-340995091732641008784
4	9	3	-7125066968470848
4	9	2	1871021960637413904
4	9	1	161008899664430958120
4	9	0	-2472775458401457943056
4	8	4	39243031953408
4	8	3	-173629067550051744
4	8	2	17793524188487023344
4	8	1	795785421654654588504
4	8	0	-12231789432238281758256
4	7	4	-728769856029696
4	7	3	1474063671567691584
4	7	2	860109034330767522672
4	7	1	52054064340257026901088
4	7	0	-1857956489303533829363448
4	6	4	-23476435323475968
4	6	3	43475404046972456736
4	6	2	6886345494837011538096
4	6	1	106038564152728441937328
4	6	0	-33028092308730142730929464
4	5	4	192347813714107392
4	5	3	322569702883969749504
4	5	2	3461009773397532624576
4	5	1	-6089090556405588263205552
4	5	0	-284428871577148147622124120
4	4	5	66936056832000
4	4	4	5161879220231729664
4	4	3	1704136434057286036992
4	4	2	-103395517162749720711936
4	4	1	-55288722986299199411202240
4	4	0	-1414080178549940456763984360
4	3	5	724868517888000
4	3	4	43842487169461929984
4	3	3	5354568670466781925632
4	3	2	-535561745929872475201920
4	3	1	-210488035017452422726273968
4	3	0	-4206099747732472823746951728
4	2	5	2948451674112000
4	2	4	138989723510033929728
4	2	3	14042619417278385302400
4	2	2	-1730046931081154900385984
4	2	1	-417625470678845564157141504
4	2	0	-7402127994703769199118816644
4	1	5	5296111423488000
4	1	4	183695526369580796928
4	1	3	27261091349945349788160
4	1	2	-3226963695406874359967232
4	1	1	-427709886608617169840265312
4	1	0	-7170478136973544922238990132
4	0	5	3658626911232000
4	0	4	68278778500848062976
4	0	3	24610201909498256152320
4	0	2	-2477022223527080282279808
4	0	1	-178826840248085457716251152
4	0	0	-2981588311250167524420845610
3	12	3	17613570320640
3	12	2	-8504745489202752
3	12	1	29551170360443904
3	12	0	4498489176819056496
3	11	3	-838786748122368
3	11	2	241512932535488640
3	11	1	16155499407689903328
3	11	0	-166223314829146725648
3	10	4	2803151453184
3	10	3	3980646587166912
3	10	2	907755269036359104
3	10	1	-196419514607982556560
3	10	0	111805544866822078176
3	9	4	-95262253272576
3	9	3	126960862892112288
