# FIX-VII-GATE candidate 7, p=199: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 32 1 1 0 0 71
0 31 0 1 0 2 175
0 30 2 2 0 0 139
0 30 2 0 1 1 28
0 30 0 3 1 0 98
0 30 0 1 2 1 43
0 29 2 0 3 0 124
0 29 1 2 0 2 105
0 29 1 0 1 3 149
0 29 0 1 4 0 31
0 28 5 0 0 1 154
0 28 3 3 0 0 55
0 28 3 1 1 1 58
0 28 1 4 1 0 126
0 28 1 2 2 1 76
0 28 1 0 3 2 82
0 28 0 2 0 4 50
0 28 0 0 1 5 102
0 27 5 0 2 0 165
0 27 4 0 0 3 159
0 27 3 1 3 0 3
0 27 2 3 0 2 134
0 27 2 1 1 3 114
0 27 1 2 4 0 159
0 27 1 0 5 1 15
0 27 0 6 0 1 192
0 27 0 4 1 2 79
0 27 0 2 2 3 171
0 27 0 0 3 4 69
0 26 6 1 0 1 108
0 26 4 4 0 0 21
0 26 4 2 1 1 120
0 26 4 0 2 2 139
0 26 3 0 0 5 105
0 26 2 5 1 0 73
0 26 2 3 2 1 136
0 26 2 1 3 2 36
0 26 1 3 0 4 148
0 26 1 1 1 5 95
0 26 1 0 7 0 126
0 26 0 6 2 0 188
0 26 0 4 3 1 128
0 26 0 2 4 2 40
0 26 0 0 5 3 110
0 25 8 0 1 0 53
0 25 6 1 2 0 147
0 25 5 1 0 3 69
0 25 4 2 3 0 125
0 25 4 0 4 1 197
0 25 3 4 0 2 196
0 25 3 2 1 3 196
0 25 3 0 2 4 102
0 25 2 3 4 0 115
0 25 2 1 5 1 21
0 25 2 0 0 7 105
0 25 1 7 0 1 172
0 25 1 5 1 2 62
0 25 1 3 2 3 193
0 25 1 1 3 4 95
0 25 0 4 5 0 45
0 25 0 3 0 6 166
0 25 0 2 6 1 110
0 25 0 1 1 7 61
0 25 0 0 7 2 67
0 24 7 2 0 1 149
0 24 7 0 1 2 115
0 24 5 5 0 0 82
0 24 5 3 1 1 117
0 24 5 1 2 2 113
0 24 4 1 0 5 174
0 24 4 0 6 0 176
0 24 3 6 1 0 29
0 24 3 4 2 1 85
0 24 3 2 3 2 43
0 24 3 0 4 3 16
0 24 2 4 0 4 153
0 24 2 2 1 5 24
0 24 2 1 7 0 28
0 24 2 0 2 6 51
0 24 1 7 2 0 179
0 24 1 5 3 1 111
0 24 1 3 4 2 169
0 24 1 1 5 3 193
0 24 1 0 0 9 190
0 24 0 7 0 3 77
0 24 0 5 1 4 143
0 24 0 3 2 5 140
0 24 0 2 8 0 34
0 24 0 1 3 6 191
0 24 0 0 9 1 169
0 23 11 0 0 0 14
0 23 9 1 1 0 70
0 23 7 2 2 0 124
0 23 7 0 3 1 156
0 23 6 2 0 3 155
0 23 6 0 1 4 161
0 23 5 3 3 0 6
0 23 5 1 4 1 40
0 23 4 5 0 2 67
0 23 4 3 1 3 141
0 23 4 1 2 4 13
0 23 3 4 4 0 53
0 23 3 2 5 1 134
0 23 3 1 0 7 198
0 23 3 0 6 2 94
0 23 2 8 0 1 133
0 23 2 6 1 2 123
0 23 2 4 2 3 156
0 23 2 2 3 4 188
0 23 2 0 4 5 161
0 23 1 5 5 0 105
0 23 1 4 0 6 118
0 23 1 3 6 1 47
0 23 1 2 1 7 117
0 23 1 1 7 2 188
0 23 1 0 2 8 175
0 23 0 11 0 0 125
0 23 0 9 1 1 143
0 23 0 7 2 2 94
0 23 0 5 3 3 147
0 23 0 3 4 4 139
0 23 0 1 5 5 67
0 23 0 0 11 0 159
0 23 0 0 0 11 69
0 22 10 0 0 2 67
0 22 8 3 0 1 111
0 22 8 1 1 2 88
0 22 7 0 5 0 25
0 22 6 6 0 0 89
0 22 6 4 1 1 118
0 22 6 2 2 2 119
0 22 6 0 3 3 82
0 22 5 2 0 5 45
0 22 5 1 6 0 189
0 22 5 0 1 6 112
0 22 4 7 1 0 154
0 22 4 5 2 1 115
0 22 4 3 3 2 56
0 22 4 1 4 3 23
0 22 3 5 0 4 150
0 22 3 3 1 5 21
0 22 3 2 7 0 27
0 22 3 1 2 6 19
0 22 3 0 8 1 72
0 22 2 8 2 0 157
0 22 2 6 3 1 158
0 22 2 4 4 2 50
0 22 2 2 5 3 190
0 22 2 1 0 9 55
0 22 2 0 6 4 68
0 22 1 8 0 3 123
0 22 1 6 1 4 91
0 22 1 4 2 5 29
0 22 1 3 8 0 154
0 22 1 2 3 6 142
0 22 1 1 9 1 149
0 22 1 0 4 7 154
0 22 0 9 3 0 151
0 22 0 7 4 1 129
0 22 0 5 5 2 188
0 22 0 4 0 8 52
0 22 0 3 6 3 70
0 22 0 2 1 9 62
0 22 0 1 7 4 191
0 22 0 0 2 10 168
0 21 12 1 0 0 140
0 21 10 2 1 0 196
0 21 10 0 2 1 133
0 21 9 0 0 4 98
0 21 8 3 2 0 169
0 21 8 1 3 1 146
0 21 7 3 0 3 59
0 21 7 1 1 4 7
0 21 6 4 3 0 130
0 21 6 2 4 1 28
0 21 6 0 5 2 21
0 21 5 6 0 2 68
0 21 5 4 1 3 144
0 21 5 2 2 4 19
0 21 5 0 3 5 25
0 21 4 5 4 0 175
0 21 4 3 5 1 57
0 21 4 2 0 7 188
0 21 4 1 6 2 2
0 21 4 0 1 8 57
0 21 3 9 0 1 60
0 21 3 7 1 2 106
0 21 3 5 2 3 147
0 21 3 3 3 4 1
0 21 3 1 4 5 160
0 21 3 0 10 0 181
0 21 2 6 5 0 83
0 21 2 5 0 6 89
0 21 2 4 6 1 55
0 21 2 3 1 7 185
0 21 2 2 7 2 85
0 21 2 1 2 8 7
0 21 2 0 8 3 148
0 21 1 12 0 0 69
0 21 1 10 1 1 160
0 21 1 8 2 2 159
0 21 1 6 3 3 176
0 21 1 4 4 4 8
0 21 1 2 5 5 156
0 21 1 1 11 0 23
0 21 1 1 0 11 114
0 21 1 0 6 6 95
0 21 0 8 0 5 28
0 21 0 7 6 0 28
0 21 0 6 1 6 97
0 21 0 5 7 1 172
0 21 0 4 2 7 179
0 21 0 3 8 2 35
0 21 0 2 3 8 164
0 21 0 1 9 3 99
0 21 0 0 4 9 192
0 20 11 1 0 2 194
0 20 10 0 4 0 146
0 20 9 4 0 1 143
0 20 9 2 1 2 86
0 20 9 0 2 3 152
0 20 8 1 5 0 117
0 20 8 0 0 6 5
0 20 7 7 0 0 18
0 20 7 5 1 1 51
0 20 7 3 2 2 170
0 20 7 1 3 3 3
0 20 6 3 0 5 174
0 20 6 2 6 0 194
0 20 6 1 1 6 36
0 20 6 0 7 1 95
0 20 5 8 1 0 119
0 20 5 6 2 1 13
