# FIX-VII-GATE candidate 9, p=199: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 32 1 1 0 0 1
0 31 0 1 0 2 134
0 30 2 2 0 0 48
0 30 0 3 1 0 88
0 30 0 1 2 1 177
0 29 2 0 3 0 92
0 29 1 2 0 2 148
0 29 1 0 1 3 99
0 29 0 1 4 0 79
0 28 5 0 0 1 191
0 28 3 3 0 0 103
0 28 3 1 1 1 7
0 28 1 4 1 0 166
0 28 1 2 2 1 124
0 28 1 0 3 2 3
0 28 0 2 0 4 13
0 28 0 0 1 5 110
0 27 5 0 2 0 145
0 27 4 0 0 3 75
0 27 3 1 3 0 17
0 27 2 3 0 2 188
0 27 2 1 1 3 80
0 27 1 2 4 0 108
0 27 1 0 5 1 19
0 27 0 6 0 1 142
0 27 0 4 1 2 111
0 27 0 2 2 3 79
0 27 0 0 3 4 83
0 26 6 1 0 1 42
0 26 4 4 0 0 161
0 26 4 2 1 1 184
0 26 4 0 2 2 75
0 26 3 0 0 5 86
0 26 2 5 1 0 6
0 26 2 3 2 1 154
0 26 2 1 3 2 22
0 26 1 3 0 4 101
0 26 1 1 1 5 76
0 26 1 0 7 0 6
0 26 0 6 2 0 112
0 26 0 4 3 1 170
0 26 0 2 4 2 177
0 26 0 0 5 3 69
0 25 8 0 1 0 1
0 25 6 1 2 0 122
0 25 5 1 0 3 108
0 25 4 2 3 0 121
0 25 4 0 4 1 44
0 25 3 4 0 2 108
0 25 3 2 1 3 174
0 25 3 0 2 4 119
0 25 2 3 4 0 92
0 25 2 1 5 1 112
0 25 2 0 0 7 190
0 25 1 7 0 1 60
0 25 1 5 1 2 154
0 25 1 3 2 3 156
0 25 1 1 3 4 176
0 25 0 4 5 0 152
0 25 0 3 0 6 79
0 25 0 2 6 1 102
0 25 0 1 1 7 89
0 25 0 0 7 2 83
0 24 7 2 0 1 81
0 24 7 0 1 2 134
0 24 5 5 0 0 164
0 24 5 3 1 1 167
0 24 5 1 2 2 68
0 24 4 1 0 5 7
0 24 4 0 6 0 97
0 24 3 6 1 0 80
0 24 3 4 2 1 109
0 24 3 2 3 2 29
0 24 3 0 4 3 53
0 24 2 4 0 4 10
0 24 2 2 1 5 2
0 24 2 1 7 0 19
0 24 2 0 2 6 144
0 24 1 7 2 0 119
0 24 1 5 3 1 193
0 24 1 3 4 2 70
0 24 1 1 5 3 186
0 24 1 0 0 9 165
0 24 0 7 0 3 5
0 24 0 5 1 4 80
0 24 0 3 2 5 57
0 24 0 2 8 0 103
0 24 0 1 3 6 9
0 24 0 0 9 1 115
0 23 11 0 0 0 154
0 23 9 1 1 0 171
0 23 7 2 2 0 185
0 23 7 0 3 1 155
0 23 6 2 0 3 115
0 23 6 0 1 4 152
0 23 5 3 3 0 2
0 23 5 1 4 1 58
0 23 4 5 0 2 105
0 23 4 3 1 3 62
0 23 4 1 2 4 118
0 23 3 4 4 0 109
0 23 3 2 5 1 43
0 23 3 1 0 7 110
0 23 3 0 6 2 178
0 23 2 8 0 1 139
0 23 2 6 1 2 96
0 23 2 4 2 3 194
0 23 2 2 3 4 167
0 23 2 0 4 5 34
0 23 1 5 5 0 29
0 23 1 4 0 6 167
0 23 1 3 6 1 82
0 23 1 2 1 7 54
0 23 1 1 7 2 20
0 23 1 0 2 8 63
0 23 0 11 0 0 84
0 23 0 9 1 1 192
0 23 0 7 2 2 142
0 23 0 5 3 3 105
0 23 0 3 4 4 58
0 23 0 1 5 5 105
0 23 0 0 11 0 119
0 23 0 0 0 11 59
0 22 10 0 0 2 11
0 22 8 3 0 1 17
0 22 8 1 1 2 152
0 22 7 0 5 0 111
0 22 6 6 0 0 156
0 22 6 4 1 1 134
0 22 6 2 2 2 55
0 22 6 0 3 3 59
0 22 5 2 0 5 30
0 22 5 1 6 0 166
0 22 5 0 1 6 31
0 22 4 7 1 0 54
0 22 4 5 2 1 145
0 22 4 3 3 2 56
0 22 4 1 4 3 143
0 22 3 5 0 4 174
0 22 3 3 1 5 75
0 22 3 2 7 0 158
0 22 3 1 2 6 21
0 22 3 0 8 1 64
0 22 2 8 2 0 145
0 22 2 6 3 1 44
0 22 2 4 4 2 86
0 22 2 2 5 3 69
0 22 2 1 0 9 106
0 22 2 0 6 4 18
0 22 1 8 0 3 26
0 22 1 6 1 4 92
0 22 1 4 2 5 32
0 22 1 3 8 0 57
0 22 1 2 3 6 32
0 22 1 1 9 1 116
0 22 1 0 4 7 36
0 22 0 9 3 0 44
0 22 0 7 4 1 184
0 22 0 5 5 2 49
0 22 0 4 0 8 54
0 22 0 3 6 3 90
0 22 0 2 1 9 185
0 22 0 1 7 4 165
0 22 0 0 2 10 58
0 21 12 1 0 0 9
0 21 10 2 1 0 166
0 21 10 0 2 1 95
0 21 9 0 0 4 44
0 21 8 3 2 0 196
0 21 7 3 0 3 157
0 21 7 1 1 4 84
0 21 6 4 3 0 191
0 21 6 2 4 1 106
0 21 6 0 5 2 35
0 21 5 6 0 2 22
0 21 5 4 1 3 114
0 21 5 2 2 4 109
0 21 5 0 3 5 85
0 21 4 5 4 0 173
0 21 4 3 5 1 2
0 21 4 2 0 7 101
0 21 4 1 6 2 127
0 21 4 0 1 8 66
0 21 3 9 0 1 118
0 21 3 7 1 2 166
0 21 3 5 2 3 134
0 21 3 3 3 4 30
0 21 3 1 4 5 158
0 21 3 0 10 0 5
0 21 2 6 5 0 82
0 21 2 5 0 6 129
0 21 2 4 6 1 12
0 21 2 3 1 7 149
0 21 2 2 7 2 136
0 21 2 1 2 8 27
0 21 2 0 8 3 193
0 21 1 12 0 0 110
0 21 1 10 1 1 9
0 21 1 8 2 2 123
0 21 1 6 3 3 133
0 21 1 4 4 4 67
0 21 1 2 5 5 81
0 21 1 1 11 0 108
0 21 1 1 0 11 140
0 21 1 0 6 6 108
0 21 0 8 0 5 72
0 21 0 7 6 0 40
0 21 0 6 1 6 40
0 21 0 5 7 1 178
0 21 0 4 2 7 8
0 21 0 3 8 2 166
0 21 0 2 3 8 183
0 21 0 1 9 3 155
0 21 0 0 4 9 78
0 20 11 1 0 2 164
0 20 9 4 0 1 125
0 20 9 2 1 2 149
0 20 9 0 2 3 54
0 20 8 1 5 0 148
0 20 8 0 0 6 181
0 20 7 7 0 0 117
0 20 7 5 1 1 104
0 20 7 3 2 2 96
0 20 7 1 3 3 161
0 20 6 3 0 5 57
0 20 6 2 6 0 86
0 20 6 1 1 6 104
0 20 6 0 7 1 89
0 20 5 8 1 0 116
0 20 5 6 2 1 2
0 20 5 4 3 2 8
0 20 5 2 4 3 36
0 20 5 0 5 4 45
0 20 4 6 0 4 24
0 20 4 4 1 5 155
0 20 4 3 7 0 178
0 20 4 2 2 6 167
0 20 4 1 8 1 107
0 20 4 0 3 7 94
0 20 3 9 2 0 27
0 20 3 7 3 1 60
0 20 3 5 4 2 26
0 20 3 3 5 3 102
0 20 3 2 0 9 163
0 20 3 1 6 4 102
0 20 3 0 1 10 92
0 20 2 9 0 3 180
0 20 2 7 1 4 133
0 20 2 5 2 5 100
0 20 2 4 8 0 113
0 20 2 3 3 6 30
0 20 2 2 9 1 50
0 20 2 1 4 7 102
0 20 2 0 10 2 110
0 20 1 10 3 0 177
0 20 1 8 4 1 173
0 20 1 6 5 2 20
0 20 1 5 0 8 79
0 20 1 4 6 3 146
0 20 1 3 1 9 68
0 20 1 2 7 4 92
0 20 1 1 2 10 156
0 20 1 0 8 5 13
0 20 0 12 0 2 35
0 20 0 10 1 3 162
0 20 0 8 2 4 134
0 20 0 6 3 5 154
0 20 0 5 9 0 4
0 20 0 3 10 1 139
0 20 0 2 5 7 142
0 20 0 1 11 2 156
0 20 0 1 0 13 6
0 20 0 0 6 8 167
0 19 13 2 0 0 2
0 19 13 0 1 1 18
0 19 11 3 1 0 20
0 19 11 1 2 1 83
0 19 10 1 0 4 87
0 19 9 4 2 0 49
0 19 9 2 3 1 149
0 19 9 0 4 2 114
0 19 8 4 0 3 86
0 19 8 2 1 4 112
0 19 8 0 2 5 113
0 19 7 5 3 0 112
0 19 7 3 4 1 196
0 19 7 1 5 2 169
0 19 7 0 0 8 21
0 19 6 7 0 2 180
0 19 6 5 1 3 181
0 19 6 3 2 4 193
0 19 6 1 3 5 151
0 19 6 0 9 0 197
0 19 5 6 4 0 122
0 19 5 4 5 1 51
0 19 5 3 0 7 20
0 19 5 2 6 2 52
0 19 5 1 1 8 30
0 19 5 0 7 3 180
0 19 4 10 0 1 49
0 19 4 8 1 2 38
0 19 4 6 2 3 192
0 19 4 4 3 4 177
0 19 4 2 4 5 64
0 19 4 1 10 0 179
0 19 4 0 5 6 19
0 19 3 7 5 0 132
0 19 3 6 0 6 72
0 19 3 5 6 1 39
0 19 3 4 1 7 59
0 19 3 3 7 2 114
0 19 3 2 2 8 160
0 19 3 1 8 3 14
0 19 3 0 3 9 100
0 19 2 13 0 0 98
0 19 2 11 1 1 14
0 19 2 9 2 2 52
0 19 2 7 3 3 188
0 19 2 5 4 4 167
0 19 2 3 5 5 5
0 19 2 2 11 0 188
0 19 2 2 0 11 140
0 19 2 1 6 6 175
0 19 2 0 12 1 60
0 19 2 0 1 12 94
0 19 1 9 0 5 98
0 19 1 8 6 0 92
0 19 1 7 1 6 175
0 19 1 6 7 1 145
0 19 1 5 2 7 184
0 19 1 4 8 2 142
0 19 1 3 3 8 159
0 19 1 2 9 3 142
0 19 1 1 4 9 130
0 19 1 0 10 4 129
0 19 0 14 1 0 177
0 19 0 12 2 1 25
0 19 0 10 3 2 34
0 19 0 8 4 3 46
0 19 0 6 5 4 63
0 19 0 5 0 10 81
0 19 0 4 6 5 44
0 19 0 3 12 0 55
0 19 0 3 1 11 106
0 19 0 2 7 6 194
0 19 0 1 13 1 150
0 19 0 1 2 12 153
0 19 0 0 8 7 176
0 18 13 0 3 0 172
0 18 12 2 0 2 7
0 18 12 0 1 3 48
0 18 11 1 4 0 121
0 18 10 5 0 1 77
0 18 10 3 1 2 129
0 18 10 1 2 3 69
0 18 9 2 5 0 33
0 18 9 1 0 6 135
0 18 9 0 6 1 66
0 18 8 8 0 0 149
0 18 8 6 1 1 74
0 18 8 4 2 2 116
0 18 8 2 3 3 16
0 18 8 0 4 4 180
0 18 7 4 0 5 131
0 18 7 3 6 0 76
0 18 7 2 1 6 130
0 18 7 1 7 1 94
0 18 7 0 2 7 106
0 18 6 9 1 0 33
0 18 6 7 2 1 21
0 18 6 5 3 2 7
0 18 6 3 4 3 104
0 18 6 1 5 4 58
0 18 6 0 0 10 83
0 18 5 7 0 4 34
0 18 5 5 1 5 46
