# FIX-VII-GATE candidate 12, p=199: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 32 1 1 0 0 108
0 31 0 1 0 2 31
0 30 2 2 0 0 160
0 30 2 0 1 1 131
0 30 0 3 1 0 196
0 30 0 1 2 1 54
0 29 2 0 3 0 150
0 29 1 2 0 2 43
0 29 1 0 1 3 67
0 29 0 1 4 0 4
0 28 5 0 0 1 144
0 28 3 3 0 0 6
0 28 3 1 1 1 44
0 28 1 4 1 0 89
0 28 1 2 2 1 135
0 28 1 0 3 2 168
0 28 0 2 0 4 56
0 28 0 0 1 5 23
0 27 5 0 2 0 48
0 27 4 0 0 3 81
0 27 3 1 3 0 187
0 27 2 3 0 2 187
0 27 2 1 1 3 52
0 27 1 2 4 0 55
0 27 1 0 5 1 65
0 27 0 6 0 1 33
0 27 0 4 1 2 128
0 27 0 2 2 3 167
0 27 0 0 3 4 25
0 26 6 1 0 1 6
0 26 4 4 0 0 188
0 26 4 2 1 1 109
0 26 4 0 2 2 78
0 26 3 0 0 5 183
0 26 2 5 1 0 127
0 26 2 3 2 1 153
0 26 2 1 3 2 179
0 26 1 3 0 4 32
0 26 1 1 1 5 138
0 26 1 0 7 0 6
0 26 0 6 2 0 7
0 26 0 4 3 1 134
0 26 0 2 4 2 79
0 26 0 0 5 3 188
0 25 8 0 1 0 191
0 25 6 1 2 0 54
0 25 5 1 0 3 190
0 25 4 2 3 0 149
0 25 4 0 4 1 164
0 25 3 4 0 2 167
0 25 3 2 1 3 116
0 25 3 0 2 4 169
0 25 2 3 4 0 92
0 25 2 1 5 1 100
0 25 2 0 0 7 73
0 25 1 7 0 1 117
0 25 1 5 1 2 91
0 25 1 3 2 3 63
0 25 1 1 3 4 97
0 25 0 4 5 0 87
0 25 0 3 0 6 181
0 25 0 2 6 1 156
0 25 0 1 1 7 168
0 25 0 0 7 2 166
0 24 7 2 0 1 44
0 24 7 0 1 2 99
0 24 5 5 0 0 43
0 24 5 3 1 1 161
0 24 5 1 2 2 120
0 24 4 1 0 5 50
0 24 4 0 6 0 102
0 24 3 6 1 0 15
0 24 3 4 2 1 73
0 24 3 2 3 2 153
0 24 3 0 4 3 107
0 24 2 4 0 4 175
0 24 2 2 1 5 12
0 24 2 1 7 0 188
0 24 2 0 2 6 102
0 24 1 7 2 0 5
0 24 1 5 3 1 177
0 24 1 3 4 2 169
0 24 1 1 5 3 91
0 24 1 0 0 9 97
0 24 0 7 0 3 54
0 24 0 5 1 4 170
0 24 0 3 2 5 145
0 24 0 2 8 0 193
0 24 0 1 3 6 21
0 24 0 0 9 1 112
0 23 11 0 0 0 172
0 23 9 1 1 0 30
0 23 7 2 2 0 122
0 23 7 0 3 1 20
0 23 6 2 0 3 16
0 23 6 0 1 4 39
0 23 5 3 3 0 83
0 23 5 1 4 1 97
0 23 4 5 0 2 85
0 23 4 3 1 3 71
