# FIX-VII-GATE candidate 3, p=199: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 32 1 1 0 0 180
0 31 0 1 0 2 148
0 30 2 0 1 1 60
0 30 0 3 1 0 122
0 30 0 1 2 1 190
0 29 2 0 3 0 187
0 29 1 2 0 2 194
0 29 1 0 1 3 119
0 29 0 1 4 0 139
0 28 5 0 0 1 62
0 28 3 3 0 0 133
0 28 3 1 1 1 181
0 28 1 4 1 0 37
0 28 1 2 2 1 145
0 28 1 0 3 2 3
0 28 0 2 0 4 109
0 28 0 0 1 5 88
0 27 5 0 2 0 87
0 27 4 0 0 3 65
0 27 3 1 3 0 68
0 27 2 3 0 2 168
0 27 2 1 1 3 174
0 27 1 2 4 0 19
0 27 1 0 5 1 186
0 27 0 6 0 1 50
0 27 0 4 1 2 186
0 27 0 2 2 3 167
0 27 0 0 3 4 48
0 26 6 1 0 1 94
0 26 4 4 0 0 80
0 26 4 2 1 1 59
0 26 4 0 2 2 75
0 26 3 0 0 5 167
0 26 2 5 1 0 138
0 26 2 3 2 1 29
0 26 2 1 3 2 16
0 26 1 3 0 4 56
0 26 1 1 1 5 1
0 26 1 0 7 0 148
0 26 0 6 2 0 45
0 26 0 4 3 1 195
0 26 0 2 4 2 195
0 26 0 0 5 3 106
0 25 8 0 1 0 107
0 25 6 1 2 0 2
0 25 5 1 0 3 31
0 25 4 2 3 0 80
0 25 4 0 4 1 63
0 25 3 4 0 2 187
0 25 3 2 1 3 174
0 25 3 0 2 4 97
0 25 2 3 4 0 114
0 25 2 1 5 1 198
0 25 2 0 0 7 89
0 25 1 7 0 1 16
0 25 1 5 1 2 123
0 25 1 3 2 3 5
0 25 1 1 3 4 88
0 25 0 4 5 0 46
0 25 0 3 0 6 55
0 25 0 2 6 1 108
0 25 0 1 1 7 32
0 25 0 0 7 2 51
0 24 7 2 0 1 189
0 24 7 0 1 2 119
0 24 5 5 0 0 20
0 24 5 3 1 1 40
0 24 5 1 2 2 79
0 24 4 1 0 5 140
0 24 4 0 6 0 22
0 24 3 6 1 0 10
0 24 3 4 2 1 100
0 24 3 2 3 2 99
0 24 3 0 4 3 118
0 24 2 4 0 4 131
0 24 2 2 1 5 64
0 24 2 1 7 0 189
0 24 2 0 2 6 76
0 24 1 7 2 0 12
