# FIX-VII-GATE candidate 10, p=199: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 32 1 1 0 0 188
0 31 0 1 0 2 165
0 30 2 2 0 0 23
0 30 2 0 1 1 55
0 30 0 3 1 0 118
0 30 0 1 2 1 131
0 29 2 0 3 0 123
0 29 1 2 0 2 92
0 29 1 0 1 3 179
0 29 0 1 4 0 129
0 28 5 0 0 1 195
0 28 3 3 0 0 79
0 28 3 1 1 1 18
0 28 1 4 1 0 103
0 28 1 2 2 1 42
0 28 1 0 3 2 143
0 28 0 2 0 4 68
0 28 0 0 1 5 196
0 27 5 0 2 0 129
0 27 4 0 0 3 183
0 27 3 1 3 0 70
0 27 2 3 0 2 180
0 27 2 1 1 3 159
0 27 1 2 4 0 177
0 27 1 0 5 1 146
0 27 0 6 0 1 36
0 27 0 4 1 2 74
0 27 0 2 2 3 129
0 27 0 0 3 4 24
0 26 6 1 0 1 62
0 26 4 4 0 0 176
0 26 4 2 1 1 149
0 26 4 0 2 2 166
0 26 3 0 0 5 136
0 26 2 5 1 0 191
0 26 2 3 2 1 88
0 26 2 1 3 2 3
0 26 1 3 0 4 157
0 26 1 1 1 5 150
0 26 1 0 7 0 183
0 26 0 6 2 0 177
0 26 0 4 3 1 21
0 26 0 2 4 2 57
0 26 0 0 5 3 5
0 25 8 0 1 0 47
0 25 6 1 2 0 109
0 25 5 1 0 3 109
0 25 4 2 3 0 172
0 25 4 0 4 1 120
0 25 3 4 0 2 96
0 25 3 2 1 3 132
0 25 3 0 2 4 57
0 25 2 3 4 0 58
0 25 2 1 5 1 6
0 25 2 0 0 7 143
0 25 1 7 0 1 83
0 25 1 5 1 2 90
0 25 1 3 2 3 75
0 25 1 1 3 4 167
0 25 0 4 5 0 104
0 25 0 3 0 6 24
0 25 0 2 6 1 163
0 25 0 1 1 7 60
0 25 0 0 7 2 39
0 24 7 2 0 1 110
0 24 7 0 1 2 130
0 24 5 5 0 0 181
0 24 5 3 1 1 118
0 24 5 1 2 2 6
0 24 4 1 0 5 56
0 24 4 0 6 0 11
0 24 3 6 1 0 33
0 24 3 4 2 1 162
0 24 3 2 3 2 126
0 24 3 0 4 3 53
0 24 2 4 0 4 144
0 24 2 2 1 5 193
0 24 2 1 7 0 182
0 24 2 0 2 6 127
0 24 1 7 2 0 67
0 24 1 5 3 1 188
0 24 1 3 4 2 197
0 24 1 1 5 3 118
0 24 1 0 0 9 27
0 24 0 7 0 3 150
0 24 0 5 1 4 102
0 24 0 3 2 5 187
0 24 0 2 8 0 130
0 24 0 1 3 6 167
0 24 0 0 9 1 47
0 23 11 0 0 0 111
0 23 9 1 1 0 38
0 23 7 2 2 0 124
0 23 7 0 3 1 76
0 23 6 2 0 3 47
0 23 6 0 1 4 58
0 23 5 3 3 0 42
0 23 5 1 4 1 150
0 23 4 5 0 2 9
0 23 4 3 1 3 73
0 23 4 1 2 4 173
0 23 3 4 4 0 105
0 23 3 2 5 1 147
0 23 3 1 0 7 5
0 23 3 0 6 2 147
0 23 2 8 0 1 128
0 23 2 6 1 2 142
0 23 2 4 2 3 125
0 23 2 2 3 4 46
0 23 2 0 4 5 63
0 23 1 5 5 0 3
0 23 1 4 0 6 182
0 23 1 3 6 1 8
0 23 1 2 1 7 64
0 23 1 1 7 2 108
0 23 1 0 2 8 164
0 23 0 11 0 0 7
0 23 0 9 1 1 25
0 23 0 7 2 2 180
0 23 0 5 3 3 36
0 23 0 3 4 4 179
0 23 0 1 5 5 183
0 23 0 0 11 0 31
0 23 0 0 0 11 171
0 22 10 0 0 2 86
0 22 8 3 0 1 38
0 22 8 1 1 2 34
0 22 7 0 5 0 1
0 22 6 6 0 0 31
0 22 6 4 1 1 177
0 22 6 2 2 2 146
0 22 6 0 3 3 190
0 22 5 2 0 5 118
0 22 5 1 6 0 40
0 22 5 0 1 6 145
0 22 4 7 1 0 74
0 22 4 5 2 1 5
0 22 4 3 3 2 44
0 22 4 1 4 3 136
0 22 3 5 0 4 119
0 22 3 3 1 5 151
0 22 3 2 7 0 129
0 22 3 1 2 6 89
0 22 3 0 8 1 180
0 22 2 8 2 0 107
0 22 2 6 3 1 59
0 22 2 4 4 2 46
0 22 2 2 5 3 193
0 22 2 1 0 9 149
0 22 2 0 6 4 95
0 22 1 8 0 3 75
0 22 1 6 1 4 76
0 22 1 4 2 5 20
0 22 1 3 8 0 25
0 22 1 2 3 6 108
0 22 1 1 9 1 52
0 22 1 0 4 7 145
0 22 0 9 3 0 77
0 22 0 7 4 1 59
0 22 0 5 5 2 118
0 22 0 4 0 8 113
0 22 0 3 6 3 21
0 22 0 2 1 9 41
0 22 0 1 7 4 198
0 22 0 0 2 10 67
0 21 12 1 0 0 63
0 21 10 2 1 0 151
0 21 10 0 2 1 93
0 21 9 0 0 4 62
0 21 8 3 2 0 140
0 21 8 1 3 1 196
0 21 7 3 0 3 39
0 21 7 1 1 4 155
0 21 6 4 3 0 110
0 21 6 2 4 1 140
0 21 6 0 5 2 131
0 21 5 6 0 2 118
0 21 5 4 1 3 20
0 21 5 2 2 4 59
0 21 5 0 3 5 118
0 21 4 5 4 0 8
0 21 4 3 5 1 164
0 21 4 2 0 7 163
0 21 4 1 6 2 1
0 21 4 0 1 8 197
0 21 3 9 0 1 132
0 21 3 7 1 2 21
0 21 3 5 2 3 193
0 21 3 3 3 4 151
0 21 3 1 4 5 179
0 21 3 0 10 0 70
0 21 2 6 5 0 21
0 21 2 5 0 6 178
0 21 2 4 6 1 118
0 21 2 3 1 7 15
0 21 2 2 7 2 46
0 21 2 1 2 8 60
0 21 2 0 8 3 21
0 21 1 12 0 0 139
0 21 1 10 1 1 37
0 21 1 8 2 2 96
0 21 1 6 3 3 120
0 21 1 4 4 4 36
0 21 1 2 5 5 97
0 21 1 1 11 0 99
0 21 1 1 0 11 193
0 21 1 0 6 6 165
0 21 0 8 0 5 81
0 21 0 7 6 0 129
0 21 0 6 1 6 124
0 21 0 5 7 1 51
0 21 0 4 2 7 42
0 21 0 3 8 2 159
0 21 0 2 3 8 67
0 21 0 1 9 3 100
0 21 0 0 4 9 161
0 20 11 1 0 2 74
0 20 10 0 4 0 29
0 20 9 4 0 1 188
0 20 9 2 1 2 116
0 20 9 0 2 3 73
0 20 8 1 5 0 170
0 20 8 0 0 6 179
0 20 7 7 0 0 104
0 20 7 5 1 1 170
0 20 7 3 2 2 191
0 20 7 1 3 3 141
0 20 6 3 0 5 197
0 20 6 2 6 0 34
0 20 6 1 1 6 36
0 20 6 0 7 1 2
0 20 5 8 1 0 34
0 20 5 6 2 1 48
0 20 5 4 3 2 161
0 20 5 2 4 3 114
0 20 5 0 5 4 162
0 20 4 6 0 4 184
0 20 4 4 1 5 184
0 20 4 3 7 0 141
0 20 4 2 2 6 154
0 20 4 1 8 1 117
0 20 4 0 3 7 118
0 20 3 9 2 0 70
0 20 3 7 3 1 87
0 20 3 5 4 2 177
0 20 3 3 5 3 124
0 20 3 2 0 9 189
0 20 3 1 6 4 3
0 20 3 0 1 10 10
0 20 2 9 0 3 185
0 20 2 7 1 4 78
0 20 2 5 2 5 100
0 20 2 4 8 0 33
0 20 2 3 3 6 65
0 20 2 2 9 1 119
0 20 2 1 4 7 27
0 20 2 0 10 2 153
0 20 1 10 3 0 57
0 20 1 8 4 1 19
0 20 1 6 5 2 134
0 20 1 5 0 8 4
0 20 1 4 6 3 28
0 20 1 3 1 9 170
0 20 1 2 7 4 79
0 20 1 1 2 10 21
0 20 1 0 8 5 171
0 20 0 12 0 2 172
0 20 0 10 1 3 117
0 20 0 8 2 4 114
0 20 0 5 9 0 85
0 20 0 4 4 6 64
0 20 0 3 10 1 45
0 20 0 2 5 7 172
0 20 0 1 11 2 85
0 20 0 1 0 13 8
0 20 0 0 6 8 172
0 19 13 2 0 0 25
0 19 13 0 1 1 47
0 19 11 3 1 0 131
0 19 11 1 2 1 179
0 19 10 1 0 4 53
