# FIX-VII-GATE candidate 8, p=199: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 32 1 1 0 0 119
0 31 0 1 0 2 172
0 30 2 2 0 0 79
0 30 2 0 1 1 119
0 30 0 3 1 0 100
0 29 2 0 3 0 98
0 29 1 2 0 2 157
0 29 1 0 1 3 96
0 29 0 1 4 0 14
0 28 5 0 0 1 132
0 28 3 3 0 0 187
0 28 3 1 1 1 156
0 28 1 4 1 0 172
0 28 1 2 2 1 54
0 28 1 0 3 2 160
0 28 0 2 0 4 193
0 28 0 0 1 5 122
0 27 4 0 0 3 187
0 27 3 1 3 0 97
0 27 2 3 0 2 169
0 27 2 1 1 3 78
0 27 1 2 4 0 33
0 27 1 0 5 1 38
0 27 0 6 0 1 186
0 27 0 4 1 2 171
0 27 0 2 2 3 103
0 27 0 0 3 4 34
0 26 6 1 0 1 172
0 26 4 4 0 0 67
0 26 4 2 1 1 15
0 26 4 0 2 2 8
0 26 3 0 0 5 181
0 26 2 5 1 0 102
0 26 2 3 2 1 55
0 26 2 1 3 2 159
0 26 1 3 0 4 11
0 26 1 1 1 5 188
0 26 1 0 7 0 148
0 26 0 6 2 0 160
0 26 0 4 3 1 127
0 26 0 2 4 2 162
0 26 0 0 5 3 109
0 25 8 0 1 0 11
0 25 6 1 2 0 70
0 25 5 1 0 3 194
0 25 4 2 3 0 79
0 25 4 0 4 1 93
0 25 3 4 0 2 64
0 25 3 2 1 3 44
0 25 3 0 2 4 127
0 25 2 3 4 0 169
0 25 2 1 5 1 158
0 25 2 0 0 7 115
0 25 1 7 0 1 196
0 25 1 5 1 2 155
0 25 1 3 2 3 155
0 25 1 1 3 4 111
0 25 0 4 5 0 29
0 25 0 3 0 6 14
0 25 0 2 6 1 158
0 25 0 1 1 7 79
0 25 0 0 7 2 59
0 24 7 2 0 1 75
0 24 7 0 1 2 87
0 24 5 5 0 0 1
0 24 5 3 1 1 67
0 24 5 1 2 2 133
0 24 4 1 0 5 110
0 24 4 0 6 0 124
0 24 3 6 1 0 39
0 24 3 4 2 1 13
0 24 3 2 3 2 173
0 24 3 0 4 3 29
0 24 2 4 0 4 15
0 24 2 2 1 5 132
0 24 2 1 7 0 60
0 24 2 0 2 6 107
0 24 1 7 2 0 60
0 24 1 5 3 1 25
0 24 1 3 4 2 174
0 24 1 1 5 3 39
0 24 1 0 0 9 98
0 24 0 7 0 3 182
0 24 0 5 1 4 187
0 24 0 3 2 5 177
0 24 0 2 8 0 125
0 24 0 1 3 6 182
0 24 0 0 9 1 2
0 23 11 0 0 0 176
0 23 9 1 1 0 98
0 23 7 2 2 0 19
0 23 7 0 3 1 150
0 23 6 2 0 3 94
0 23 6 0 1 4 168
0 23 5 3 3 0 197
0 23 5 1 4 1 89
0 23 4 5 0 2 166
0 23 4 3 1 3 93
0 23 4 1 2 4 108
0 23 3 4 4 0 3
0 23 3 2 5 1 64
0 23 3 1 0 7 19
0 23 3 0 6 2 79
0 23 2 8 0 1 132
0 23 2 6 1 2 101
0 23 2 4 2 3 95
0 23 2 2 3 4 84
0 23 2 0 4 5 120
0 23 1 5 5 0 122
0 23 1 4 0 6 180
0 23 1 3 6 1 112
0 23 1 2 1 7 103
0 23 1 1 7 2 185
0 23 1 0 2 8 157
0 23 0 11 0 0 11
0 23 0 9 1 1 40
0 23 0 7 2 2 159
0 23 0 5 3 3 89
0 23 0 3 4 4 65
0 23 0 1 5 5 159
0 23 0 0 11 0 153
0 23 0 0 0 11 137
0 22 8 3 0 1 143
0 22 8 1 1 2 102
0 22 7 0 5 0 109
0 22 6 6 0 0 142
0 22 6 4 1 1 43
0 22 6 2 2 2 181
0 22 6 0 3 3 22
0 22 5 2 0 5 31
0 22 5 1 6 0 94
0 22 5 0 1 6 195
0 22 4 7 1 0 28
0 22 4 5 2 1 113
0 22 4 3 3 2 124
0 22 4 1 4 3 122
0 22 3 5 0 4 91
0 22 3 3 1 5 130
0 22 3 2 7 0 112
0 22 3 1 2 6 66
0 22 3 0 8 1 113
0 22 2 8 2 0 61
0 22 2 6 3 1 121
0 22 2 4 4 2 158
0 22 2 2 5 3 161
0 22 2 1 0 9 74
0 22 2 0 6 4 34
0 22 1 8 0 3 35
0 22 1 6 1 4 88
0 22 1 4 2 5 20
0 22 1 3 8 0 96
0 22 1 2 3 6 110
0 22 1 1 9 1 60
0 22 1 0 4 7 38
0 22 0 7 4 1 89
0 22 0 5 5 2 183
0 22 0 4 0 8 193
0 22 0 3 6 3 30
0 22 0 2 1 9 25
0 22 0 1 7 4 123
0 22 0 0 2 10 82
0 21 12 1 0 0 142
0 21 10 2 1 0 126
0 21 10 0 2 1 87
0 21 9 0 0 4 89
0 21 8 3 2 0 122
0 21 8 1 3 1 64
0 21 7 3 0 3 188
0 21 7 1 1 4 86
0 21 6 4 3 0 173
0 21 6 2 4 1 51
0 21 6 0 5 2 4
0 21 5 6 0 2 157
0 21 5 4 1 3 63
0 21 5 2 2 4 51
0 21 5 0 3 5 67
0 21 4 5 4 0 35
0 21 4 3 5 1 140
0 21 4 2 0 7 63
0 21 4 1 6 2 65
0 21 4 0 1 8 51
0 21 3 9 0 1 124
0 21 3 7 1 2 13
0 21 3 5 2 3 197
0 21 3 3 3 4 36
0 21 3 1 4 5 6
0 21 3 0 10 0 16
0 21 2 6 5 0 54
0 21 2 5 0 6 145
0 21 2 4 6 1 148
0 21 2 3 1 7 100
0 21 2 2 7 2 161
0 21 2 1 2 8 1
0 21 2 0 8 3 68
0 21 1 12 0 0 47
0 21 1 10 1 1 115
0 21 1 8 2 2 195
0 21 1 6 3 3 76
0 21 1 4 4 4 81
0 21 1 2 5 5 75
0 21 1 1 11 0 183
0 21 1 1 0 11 88
0 21 1 0 6 6 170
0 21 0 8 0 5 123
0 21 0 7 6 0 61
0 21 0 6 1 6 135
0 21 0 5 7 1 122
0 21 0 4 2 7 147
0 21 0 3 8 2 96
0 21 0 2 3 8 175
0 21 0 1 9 3 122
0 21 0 0 4 9 115
0 20 11 1 0 2 45
0 20 10 0 4 0 180
0 20 9 4 0 1 106
0 20 9 2 1 2 111
0 20 9 0 2 3 173
0 20 8 1 5 0 115
0 20 8 0 0 6 14
0 20 7 7 0 0 154
0 20 7 5 1 1 143
0 20 7 3 2 2 31
0 20 7 1 3 3 81
0 20 6 3 0 5 129
0 20 6 2 6 0 2
0 20 6 1 1 6 156
0 20 5 8 1 0 129
0 20 5 6 2 1 105
0 20 5 4 3 2 13
0 20 5 2 4 3 50
0 20 5 0 5 4 92
0 20 4 6 0 4 100
0 20 4 4 1 5 92
0 20 4 3 7 0 88
0 20 4 2 2 6 190
0 20 4 1 8 1 192
0 20 4 0 3 7 71
