# FIX-VII-GATE candidate 1, p=199: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 32 1 1 0 0 155
0 31 0 1 0 2 15
0 30 2 2 0 0 128
0 30 2 0 1 1 142
0 30 0 3 1 0 17
0 30 0 1 2 1 79
0 29 2 0 3 0 25
0 29 1 2 0 2 100
0 29 1 0 1 3 93
0 29 0 1 4 0 128
0 28 5 0 0 1 146
0 28 3 3 0 0 12
0 28 3 1 1 1 73
0 28 1 4 1 0 51
0 28 1 2 2 1 82
0 28 1 0 3 2 47
0 28 0 2 0 4 76
0 28 0 0 1 5 63
0 27 5 0 2 0 154
0 27 4 0 0 3 187
0 27 3 1 3 0 22
0 27 2 3 0 2 50
0 27 2 1 1 3 142
0 27 1 2 4 0 176
0 27 1 0 5 1 143
0 27 0 6 0 1 105
0 27 0 4 1 2 172
0 27 0 2 2 3 176
0 27 0 0 3 4 65
0 26 6 1 0 1 65
0 26 4 4 0 0 61
0 26 4 2 1 1 26
0 26 4 0 2 2 12
0 26 3 0 0 5 185
0 26 2 5 1 0 113
0 26 2 3 2 1 160
0 26 2 1 3 2 20
0 26 1 3 0 4 196
0 26 1 1 1 5 175
0 26 1 0 7 0 19
0 26 0 6 2 0 68
0 26 0 4 3 1 127
0 26 0 2 4 2 157
0 26 0 0 5 3 153
0 25 8 0 1 0 31
0 25 6 1 2 0 188
0 25 5 1 0 3 47
0 25 4 2 3 0 63
0 25 4 0 4 1 182
0 25 3 4 0 2 23
0 25 3 2 1 3 17
0 25 3 0 2 4 188
0 25 2 3 4 0 86
0 25 2 1 5 1 51
0 25 2 0 0 7 116
0 25 1 7 0 1 105
0 25 1 5 1 2 186
0 25 1 3 2 3 183
0 25 1 1 3 4 46
0 25 0 4 5 0 55
0 25 0 3 0 6 187
0 25 0 2 6 1 113
0 25 0 1 1 7 16
0 25 0 0 7 2 125
0 24 7 2 0 1 120
0 24 7 0 1 2 81
0 24 5 5 0 0 141
0 24 5 3 1 1 21
0 24 5 1 2 2 170
0 24 4 0 6 0 20
0 24 3 6 1 0 188
0 24 3 4 2 1 153
0 24 3 2 3 2 128
0 24 3 0 4 3 79
0 24 2 4 0 4 156
0 24 2 2 1 5 53
0 24 2 1 7 0 4
0 24 2 0 2 6 10
0 24 1 7 2 0 78
0 24 1 5 3 1 82
0 24 1 3 4 2 163
0 24 1 1 5 3 50
0 24 1 0 0 9 108
0 24 0 7 0 3 172
0 24 0 5 1 4 37
0 24 0 3 2 5 107
0 24 0 2 8 0 198
0 24 0 0 9 1 118
0 23 11 0 0 0 141
0 23 9 1 1 0 144
0 23 7 2 2 0 163
0 23 7 0 3 1 30
0 23 6 2 0 3 135
0 23 6 0 1 4 49
0 23 5 3 3 0 68
0 23 5 1 4 1 141
0 23 4 5 0 2 109
0 23 4 3 1 3 147
0 23 4 1 2 4 79
0 23 3 4 4 0 47
0 23 3 2 5 1 88
0 23 3 1 0 7 190
0 23 3 0 6 2 131
0 23 2 8 0 1 152
0 23 2 6 1 2 126
0 23 2 4 2 3 92
0 23 2 2 3 4 194
0 23 2 0 4 5 158
0 23 1 5 5 0 85
0 23 1 4 0 6 67
0 23 1 3 6 1 71
0 23 1 2 1 7 154
0 23 1 1 7 2 52
0 23 1 0 2 8 94
0 23 0 11 0 0 49
0 23 0 9 1 1 63
0 23 0 7 2 2 25
0 23 0 5 3 3 64
0 23 0 3 4 4 52
0 23 0 1 5 5 25
0 23 0 0 11 0 99
0 23 0 0 0 11 6
0 22 10 0 0 2 40
0 22 8 3 0 1 97
0 22 8 1 1 2 57
0 22 7 0 5 0 103
0 22 6 6 0 0 136
0 22 6 4 1 1 149
0 22 6 2 2 2 172
0 22 6 0 3 3 138
0 22 5 2 0 5 180
0 22 5 1 6 0 18
0 22 5 0 1 6 29
0 22 4 7 1 0 53
0 22 4 5 2 1 62
0 22 4 3 3 2 129
0 22 4 1 4 3 138
0 22 3 5 0 4 49
0 22 3 3 1 5 115
0 22 3 2 7 0 187
0 22 3 1 2 6 66
0 22 3 0 8 1 153
0 22 2 8 2 0 135
0 22 2 6 3 1 45
0 22 2 4 4 2 186
0 22 2 2 5 3 61
0 22 2 1 0 9 100
0 22 2 0 6 4 185
0 22 1 8 0 3 88
0 22 1 6 1 4 187
0 22 1 4 2 5 123
0 22 1 3 8 0 84
0 22 1 2 3 6 5
0 22 1 1 9 1 160
0 22 1 0 4 7 90
0 22 0 9 3 0 104
0 22 0 7 4 1 30
0 22 0 5 5 2 138
0 22 0 4 0 8 170
0 22 0 3 6 3 31
0 22 0 2 1 9 132
0 22 0 1 7 4 117
0 22 0 0 2 10 195
0 21 12 1 0 0 101
0 21 10 2 1 0 61
0 21 10 0 2 1 142
0 21 9 0 0 4 35
0 21 8 3 2 0 28
0 21 8 1 3 1 128
0 21 7 3 0 3 125
0 21 7 1 1 4 1
0 21 6 4 3 0 95
0 21 6 2 4 1 133
0 21 6 0 5 2 36
0 21 5 6 0 2 94
0 21 5 4 1 3 94
0 21 5 2 2 4 79
0 21 5 0 3 5 176
0 21 4 5 4 0 107
0 21 4 3 5 1 157
0 21 4 2 0 7 175
0 21 4 1 6 2 82
0 21 4 0 1 8 53
0 21 3 9 0 1 137
0 21 3 7 1 2 12
0 21 3 5 2 3 110
0 21 3 3 3 4 80
0 21 3 1 4 5 58
0 21 3 0 10 0 166
0 21 2 6 5 0 53
0 21 2 5 0 6 86
0 21 2 4 6 1 167
0 21 2 3 1 7 24
0 21 2 2 7 2 169
0 21 2 1 2 8 121
0 21 2 0 8 3 128
0 21 1 12 0 0 81
0 21 1 10 1 1 38
0 21 1 8 2 2 50
0 21 1 6 3 3 197
0 21 1 4 4 4 29
0 21 1 2 5 5 42
0 21 1 1 11 0 112
0 21 1 1 0 11 134
0 21 1 0 6 6 195
0 21 0 8 0 5 156
0 21 0 7 6 0 47
0 21 0 6 1 6 182
0 21 0 5 7 1 197
0 21 0 4 2 7 129
0 21 0 3 8 2 38
0 21 0 2 3 8 138
0 21 0 1 9 3 165
0 21 0 0 4 9 55
0 20 11 1 0 2 120
0 20 10 0 4 0 4
0 20 9 4 0 1 113
0 20 9 2 1 2 60
0 20 9 0 2 3 182
0 20 8 1 5 0 178
0 20 8 0 0 6 58
0 20 7 7 0 0 42
0 20 7 5 1 1 54
0 20 7 3 2 2 67
0 20 7 1 3 3 198
0 20 6 3 0 5 186
0 20 6 2 6 0 65
0 20 6 1 1 6 116
0 20 6 0 7 1 180
0 20 5 8 1 0 33
0 20 5 6 2 1 72
0 20 5 4 3 2 125
0 20 5 2 4 3 1
0 20 5 0 5 4 56
0 20 4 6 0 4 163
0 20 4 4 1 5 107
0 20 4 3 7 0 191
0 20 4 2 2 6 32
0 20 4 1 8 1 89
0 20 4 0 3 7 53
0 20 3 9 2 0 133
0 20 3 7 3 1 125
0 20 3 5 4 2 62
0 20 3 3 5 3 90
0 20 3 2 0 9 185
0 20 3 1 6 4 6
0 20 3 0 1 10 178
0 20 2 9 0 3 180
0 20 2 7 1 4 117
0 20 2 5 2 5 9
0 20 2 4 8 0 130
0 20 2 3 3 6 54
0 20 2 2 9 1 173
0 20 2 1 4 7 180
0 20 2 0 10 2 90
0 20 1 10 3 0 69
0 20 1 8 4 1 42
0 20 1 6 5 2 10
0 20 1 5 0 8 49
0 20 1 4 6 3 120
0 20 1 3 1 9 36
0 20 1 2 7 4 33
0 20 1 1 2 10 71
0 20 1 0 8 5 34
0 20 0 12 0 2 87
0 20 0 10 1 3 7
0 20 0 8 2 4 69
0 20 0 6 3 5 148
0 20 0 5 9 0 191
0 20 0 4 4 6 72
0 20 0 3 10 1 43
0 20 0 2 5 7 153
0 20 0 1 11 2 152
0 20 0 1 0 13 132
0 20 0 0 6 8 164
0 19 13 2 0 0 150
0 19 13 0 1 1 123
0 19 11 3 1 0 23
0 19 11 1 2 1 136
0 19 10 1 0 4 140
0 19 9 4 2 0 142
0 19 9 2 3 1 68
0 19 9 0 4 2 97
0 19 8 4 0 3 190
0 19 8 2 1 4 41
0 19 8 0 2 5 60
0 19 7 5 3 0 76
0 19 7 3 4 1 21
0 19 7 1 5 2 128
0 19 7 0 0 8 24
0 19 6 7 0 2 34
0 19 6 5 1 3 162
0 19 6 3 2 4 154
0 19 6 1 3 5 31
0 19 6 0 9 0 90
0 19 5 6 4 0 101
0 19 5 4 5 1 73
0 19 5 3 0 7 110
0 19 5 2 6 2 4
0 19 5 1 1 8 36
0 19 5 0 7 3 19
0 19 4 10 0 1 169
0 19 4 8 1 2 84
0 19 4 6 2 3 20
0 19 4 4 3 4 29
0 19 4 2 4 5 45
0 19 4 1 10 0 86
0 19 4 0 5 6 124
0 19 3 7 5 0 5
0 19 3 6 0 6 8
0 19 3 5 6 1 8
0 19 3 4 1 7 184
0 19 3 3 7 2 27
0 19 3 2 2 8 44
0 19 3 1 8 3 156
0 19 3 0 3 9 152
0 19 2 13 0 0 40
0 19 2 11 1 1 105
0 19 2 9 2 2 123
0 19 2 7 3 3 154
0 19 2 5 4 4 49
0 19 2 3 5 5 90
0 19 2 2 11 0 174
0 19 2 2 0 11 85
0 19 2 1 6 6 112
0 19 2 0 12 1 38
0 19 2 0 1 12 143
0 19 1 9 0 5 92
0 19 1 8 6 0 24
0 19 1 7 1 6 85
0 19 1 6 7 1 190
0 19 1 5 2 7 149
0 19 1 4 8 2 142
0 19 1 3 3 8 79
0 19 1 2 9 3 8
0 19 1 1 4 9 22
0 19 1 0 10 4 77
0 19 0 14 1 0 13
0 19 0 12 2 1 180
0 19 0 10 3 2 182
0 19 0 8 4 3 178
0 19 0 6 5 4 186
0 19 0 5 0 10 99
0 19 0 4 6 5 182
0 19 0 3 12 0 16
0 19 0 3 1 11 6
0 19 0 2 7 6 49
0 19 0 1 13 1 151
0 19 0 1 2 12 64
0 19 0 0 8 7 181
0 18 13 0 3 0 169
0 18 12 2 0 2 177
0 18 12 0 1 3 133
0 18 11 1 4 0 140
0 18 10 5 0 1 54
0 18 10 3 1 2 145
0 18 10 1 2 3 166
0 18 9 2 5 0 42
0 18 9 1 0 6 111
0 18 9 0 6 1 129
0 18 8 8 0 0 81
0 18 8 6 1 1 23
0 18 8 4 2 2 48
0 18 8 2 3 3 170
0 18 8 0 4 4 73
0 18 7 4 0 5 191
0 18 7 3 6 0 95
0 18 7 2 1 6 121
0 18 7 1 7 1 162
0 18 7 0 2 7 166
0 18 6 9 1 0 77
0 18 6 7 2 1 112
0 18 6 5 3 2 192
0 18 6 3 4 3 78
0 18 6 1 5 4 193
0 18 6 0 0 10 122
0 18 5 7 0 4 145
0 18 5 5 1 5 160
0 18 5 4 7 0 4
0 18 5 3 2 6 46
0 18 5 2 8 1 120
0 18 5 1 3 7 83
0 18 5 0 9 2 144
0 18 4 10 2 0 99
0 18 4 8 3 1 182
0 18 4 6 4 2 59
0 18 4 4 5 3 171
0 18 4 3 0 9 12
0 18 4 2 6 4 123
0 18 4 1 1 10 94
0 18 4 0 7 5 56
0 18 3 10 0 3 192
0 18 3 8 1 4 44
0 18 3 6 2 5 164
0 18 3 5 8 0 194
0 18 3 4 3 6 3
0 18 3 3 9 1 69
0 18 3 2 4 7 10
0 18 3 1 10 2 179
0 18 3 0 5 8 154
0 18 2 11 3 0 34
0 18 2 9 4 1 121
0 18 2 7 5 2 157
0 18 2 6 0 8 96
0 18 2 5 6 3 140
0 18 2 4 1 9 68
0 18 2 3 7 4 42
0 18 2 2 2 10 119
0 18 2 1 8 5 125
0 18 2 0 14 0 133
0 18 2 0 3 11 144
0 18 1 13 0 2 47
0 18 1 11 1 3 59
0 18 1 9 2 4 150
0 18 1 7 3 5 163
0 18 1 6 9 0 185
0 18 1 5 4 6 46
0 18 1 4 10 1 131
0 18 1 3 5 7 100
0 18 1 2 11 2 5
0 18 1 2 0 13 71
0 18 1 1 6 8 111
0 18 1 0 12 3 155
0 18 1 0 1 14 25
0 18 0 12 4 0 110
0 18 0 10 5 1 85
0 18 0 9 0 7 97
0 18 0 8 6 2 44
0 18 0 7 1 8 38
0 18 0 6 7 3 70
0 18 0 5 2 9 15
0 18 0 4 8 4 198
0 18 0 3 3 10 128
0 18 0 2 9 5 120
0 18 0 1 15 0 163
0 18 0 1 4 11 79
0 18 0 0 10 6 31
0 17 16 0 0 1 112
0 17 14 3 0 0 162
0 17 14 1 1 1 70
0 17 12 4 1 0 50
0 17 12 2 2 1 108
0 17 12 0 3 2 3
0 17 11 2 0 4 4
0 17 11 0 1 5 36
0 17 10 5 2 0 148
0 17 10 3 3 1 116
0 17 10 1 4 2 164
0 17 9 5 0 3 78
0 17 9 3 1 4 145
0 17 9 1 2 5 181
0 17 9 0 8 0 138
0 17 8 6 3 0 2
0 17 8 4 4 1 187
0 17 8 2 5 2 38
0 17 8 1 0 8 152
0 17 8 0 6 3 133
0 17 7 8 0 2 54
0 17 7 6 1 3 16
0 17 7 4 2 4 171
0 17 7 2 3 5 7
0 17 7 1 9 0 87
0 17 7 0 4 6 61
0 17 6 7 4 0 175
0 17 6 5 5 1 9
0 17 6 4 0 7 156
0 17 6 3 6 2 28
0 17 6 2 1 8 142
0 17 6 1 7 3 50
0 17 6 0 2 9 51
0 17 5 11 0 1 18
0 17 5 9 1 2 95
0 17 5 7 2 3 17
0 17 5 5 3 4 84
0 17 5 3 4 5 162
0 17 5 2 10 0 144
0 17 5 1 5 6 41
0 17 5 0 11 1 43
0 17 5 0 0 12 170
0 17 4 8 5 0 77
0 17 4 7 0 6 112
0 17 4 6 6 1 3
0 17 4 5 1 7 138
0 17 4 4 7 2 188
0 17 4 3 2 8 195
0 17 4 2 8 3 158
0 17 4 1 3 9 40
0 17 4 0 9 4 107
0 17 3 14 0 0 12
0 17 3 12 1 1 24
0 17 3 10 2 2 42
0 17 3 8 3 3 116
0 17 3 6 4 4 83
0 17 3 4 5 5 53
0 17 3 3 11 0 3
0 17 3 3 0 11 69
0 17 3 2 6 6 151
0 17 3 1 12 1 128
0 17 3 1 1 12 107
0 17 3 0 7 7 65
0 17 2 9 6 0 120
0 17 2 8 1 6 135
0 17 2 7 7 1 3
0 17 2 6 2 7 41
0 17 2 5 8 2 41
0 17 2 4 3 8 36
0 17 2 3 9 3 83
0 17 2 2 4 9 21
0 17 2 1 10 4 87
0 17 2 0 5 10 114
0 17 1 15 1 0 98
0 17 1 13 2 1 66
0 17 1 11 3 2 9
0 17 1 9 4 3 190
0 17 1 7 5 4 54
0 17 1 6 0 10 174
0 17 1 5 6 5 23
0 17 1 4 12 0 71
0 17 1 4 1 11 97
0 17 1 3 7 6 80
0 17 1 2 13 1 53
0 17 1 2 2 12 118
0 17 1 1 8 7 12
0 17 1 0 14 2 22
0 17 1 0 3 13 13
0 17 0 13 0 4 108
0 17 0 11 1 5 31
0 17 0 10 7 0 10
0 17 0 9 2 6 89
0 17 0 8 8 1 77
0 17 0 7 3 7 181
0 17 0 6 9 2 155
0 17 0 5 4 8 70
0 17 0 4 10 3 83
0 17 0 3 5 9 116
0 17 0 2 11 4 32
