F_odd(d mod 330)  shared-mu enumeration of the 22 immune rows
profile: min=2265760 max=58798784 typical=2492336  F_odd(35)=36252160
sharing-off A4 block target: 3^8 = 6561

    d   d6   d3   d5  d11        F_odd        F_off      H_imm_D10
  140    2    2    0    8     36252160         6561      416899840
  141    3    0    1    9      3674924         6561       42261626
  142    4    1    2   10      2265760         6561       26056240
  143    5    2    3    0      2492336         6561       28661864
  144    0    0    4    1      3674924         6561       42261626
  145    1    1    0    2     36252160         6561      416899840
  146    2    2    1    3      2492336         6561       28661864
  147    3    0    2    4      3674924         6561       42261626
  148    4    1    3    5      2492336         6561       28661864
  149    5    2    4    6      2265760         6561       26056240
  150    0    0    0    7     53453440         6561      614714560
  151    1    1    1    8      2265760         6561       26056240
  152    2    2    2    9      2492336         6561       28661864
  153    3    0    3   10      3340840         6561       38419660
  154    4    1    4    0      2492336         6561       28661864
  155    5    2    0    1     39877376         6561      458589824
  156    0    0    1    2      3340840         6561       38419660
  157    1    1    2    3      2492336         6561       28661864
  158    2    2    3    4      2492336         6561       28661864
  159    3    0    4    5      3674924         6561       42261626
  160    4    1    0    6     36252160         6561      416899840
  161    5    2    1    7      2265760         6561       26056240
  162    0    0    2    8      3340840         6561       38419660
  163    1    1    3    9      2492336         6561       28661864
  164    2    2    4   10      2265760         6561       26056240
  165    3    0    0    0     58798784         6561      676186016
  166    4    1    1    1      2492336         6561       28661864
  167    5    2    2    2      2265760         6561       26056240
  168    0    0    3    3      3674924         6561       42261626
  169    1    1    4    4      2492336         6561       28661864
  170    2    2    0    5     39877376         6561      458589824
  171    3    0    1    6      3340840         6561       38419660
  172    4    1    2    7      2265760         6561       26056240
  173    5    2    3    8      2265760         6561       26056240
  174    0    0    4    9      3674924         6561       42261626
  175    1    1    0   10     36252160         6561      416899840
  176    2    2    1    0      2492336         6561       28661864
  177    3    0    2    1      3674924         6561       42261626
  178    4    1    3    2      2265760         6561       26056240
  179    5    2    4    3      2492336         6561       28661864
  180    0    0    0    4     58798784         6561      676186016
  181    1    1    1    5      2492336         6561       28661864
  182    2    2    2    6      2265760         6561       26056240
  183    3    0    3    7      3340840         6561       38419660
  184    4    1    4    8      2265760         6561       26056240
  185    5    2    0    9     39877376         6561      458589824
