# FIX-VII-GATE candidate 6, p=67: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 20 7 3 2 2 35
0 20 7 1 3 3 61
0 20 6 3 0 5 19
0 20 6 2 6 0 64
0 20 6 1 1 6 53
0 20 6 0 7 1 43
0 20 5 8 1 0 35
0 20 5 6 2 1 53
0 20 5 4 3 2 52
0 20 5 2 4 3 57
0 20 4 6 0 4 22
0 20 4 4 1 5 34
0 20 4 3 7 0 47
0 20 4 2 2 6 54
0 20 4 1 8 1 22
0 20 4 0 3 7 15
0 20 3 9 2 0 44
0 20 3 7 3 1 40
0 20 3 5 4 2 31
0 20 3 3 5 3 39
0 20 3 2 0 9 23
0 20 3 1 6 4 5
0 20 3 0 1 10 8
0 20 2 9 0 3 8
0 20 2 7 1 4 17
0 20 2 5 2 5 7
0 20 2 4 8 0 5
0 20 2 3 3 6 9
0 20 2 2 9 1 19
0 20 2 1 4 7 22
0 20 2 0 10 2 50
0 20 1 10 3 0 53
0 20 1 8 4 1 10
0 20 1 6 5 2 3
0 20 1 5 0 8 35
0 20 1 4 6 3 47
0 20 1 3 1 9 63
0 20 1 2 7 4 50
0 20 1 1 2 10 48
0 20 1 0 8 5 37
0 20 0 12 0 2 45
0 20 0 10 1 3 3
0 20 0 8 2 4 19
0 20 0 6 3 5 59
0 20 0 5 9 0 5
0 20 0 4 4 6 25
0 20 0 3 10 1 45
0 20 0 2 5 7 31
0 20 0 1 11 2 2
0 20 0 0 6 8 53
0 19 13 2 0 0 27
0 19 13 0 1 1 43
0 19 11 3 1 0 4
0 19 11 1 2 1 30
0 19 10 1 0 4 23
0 19 9 4 2 0 16
0 19 9 2 3 1 3
0 19 9 0 4 2 17
0 19 8 4 0 3 49
0 19 8 2 1 4 7
0 19 8 0 2 5 36
0 19 7 5 3 0 51
0 19 7 3 4 1 28
0 19 7 1 5 2 2
0 19 7 0 0 8 34
0 19 6 7 0 2 48
0 19 6 5 1 3 47
0 19 6 3 2 4 61
0 19 6 1 3 5 63
0 19 6 0 9 0 34
0 19 5 6 4 0 48
0 19 5 4 5 1 9
0 19 5 3 0 7 64
0 19 5 2 6 2 11
0 19 5 1 1 8 42
0 19 5 0 7 3 42
0 19 4 10 0 1 12
0 19 4 8 1 2 17
0 19 4 6 2 3 46
0 19 4 4 3 4 33
0 19 4 2 4 5 32
0 19 4 1 10 0 11
0 19 4 0 5 6 18
0 19 3 7 5 0 50
0 19 3 6 0 6 39
0 19 3 5 6 1 19
0 19 3 4 1 7 25
0 19 3 3 7 2 46
0 19 3 2 2 8 12
0 19 3 0 3 9 14
0 19 2 13 0 0 37
0 19 2 11 1 1 3
0 19 2 9 2 2 51
0 19 2 7 3 3 12
0 19 2 5 4 4 27
0 19 2 3 5 5 41
0 19 2 2 11 0 59
0 19 2 2 0 11 24
0 19 2 1 6 6 61
0 19 2 0 12 1 35
0 19 2 0 1 12 61
0 19 1 9 0 5 6
0 19 1 8 6 0 7
0 19 1 7 1 6 62
0 19 1 6 7 1 18
0 19 1 5 2 7 40
0 19 1 4 8 2 36
0 19 1 3 3 8 44
0 19 1 2 9 3 65
0 19 1 1 4 9 8
0 19 1 0 10 4 19
0 19 0 14 1 0 49
0 19 0 12 2 1 35
0 19 0 10 3 2 16
0 19 0 8 4 3 13
0 19 0 6 5 4 24
0 19 0 5 0 10 53
0 19 0 4 6 5 64
0 19 0 3 12 0 45
0 19 0 3 1 11 58
0 19 0 2 7 6 62
0 19 0 1 13 1 38
0 19 0 1 2 12 32
0 19 0 0 8 7 47
0 18 13 0 3 0 63
0 18 12 2 0 2 30
0 18 12 0 1 3 42
0 18 11 1 4 0 18
0 18 10 5 0 1 18
0 18 10 3 1 2 63
0 18 10 1 2 3 32
0 18 9 2 5 0 27
0 18 9 1 0 6 30
0 18 9 0 6 1 9
0 18 8 8 0 0 21
0 18 8 6 1 1 64
0 18 8 4 2 2 43
0 18 8 2 3 3 64
0 18 8 0 4 4 44
0 18 7 4 0 5 33
0 18 7 3 6 0 14
0 18 7 2 1 6 51
0 18 7 1 7 1 54
0 18 7 0 2 7 19
0 18 6 9 1 0 52
0 18 6 7 2 1 47
0 18 6 5 3 2 61
0 18 6 3 4 3 24
0 18 6 1 5 4 12
0 18 6 0 0 10 27
0 18 5 7 0 4 17
0 18 5 5 1 5 58
0 18 5 4 7 0 66
0 18 5 3 2 6 40
0 18 5 2 8 1 16
0 18 5 1 3 7 45
0 18 5 0 9 2 38
0 18 4 10 2 0 15
0 18 4 8 3 1 50
0 18 4 6 4 2 33
0 18 4 4 5 3 37
0 18 4 3 0 9 60
0 18 4 2 6 4 13
0 18 4 1 1 10 21
0 18 4 0 7 5 21
0 18 3 10 0 3 36
0 18 3 8 1 4 11
0 18 3 6 2 5 11
0 18 3 5 8 0 22
0 18 3 4 3 6 15
0 18 3 3 9 1 60
0 18 3 2 4 7 43
0 18 3 1 10 2 49
0 18 3 0 5 8 18
0 18 2 11 3 0 42
0 18 2 7 5 2 26
0 18 2 6 0 8 56
0 18 2 5 6 3 57
0 18 2 4 1 9 54
0 18 2 3 7 4 28
0 18 2 2 2 10 13
0 18 2 1 8 5 23
0 18 2 0 14 0 35
0 18 2 0 3 11 32
0 18 1 13 0 2 57
0 18 1 11 1 3 36
0 18 1 9 2 4 35
0 18 1 7 3 5 13
0 18 1 6 9 0 16
0 18 1 5 4 6 29
0 18 1 4 10 1 31
0 18 1 3 5 7 18
0 18 1 2 11 2 21
0 18 1 2 0 13 57
0 18 1 1 6 8 27
0 18 1 0 12 3 51
0 18 1 0 1 14 49
0 18 0 10 5 1 25
0 18 0 9 0 7 65
0 18 0 8 6 2 39
0 18 0 7 1 8 11
0 18 0 6 7 3 14
0 18 0 5 2 9 49
0 18 0 4 8 4 41
0 18 0 3 3 10 6
0 18 0 2 9 5 26
0 18 0 1 15 0 43
0 18 0 0 10 6 41
0 17 16 0 0 1 31
0 17 14 3 0 0 37
0 17 14 1 1 1 52
0 17 12 4 1 0 60
0 17 12 2 2 1 58
0 17 12 0 3 2 57
0 17 11 2 0 4 33
0 17 11 0 1 5 47
0 17 10 5 2 0 29
0 17 10 3 3 1 38
0 17 10 1 4 2 48
0 17 9 5 0 3 37
0 17 9 3 1 4 55
0 17 9 1 2 5 40
0 17 9 0 8 0 21
0 17 8 6 3 0 66
0 17 8 4 4 1 46
0 17 8 2 5 2 1
0 17 8 1 0 8 63
0 17 8 0 6 3 42
0 17 7 8 0 2 20
0 17 7 6 1 3 30
0 17 7 4 2 4 34
0 17 7 2 3 5 44
0 17 7 1 9 0 41
0 17 7 0 4 6 15
0 17 6 7 4 0 56
0 17 6 5 5 1 48
0 17 6 4 0 7 6
0 17 6 3 6 2 8
0 17 6 2 1 8 65
0 17 6 1 7 3 60
0 17 6 0 2 9 36
0 17 5 11 0 1 16
0 17 5 9 1 2 25
0 17 5 7 2 3 15
0 17 5 5 3 4 40
0 17 5 3 4 5 34
0 17 5 2 10 0 11
0 17 5 1 5 6 60
0 17 5 0 11 1 35
0 17 5 0 0 12 60
0 17 4 8 5 0 14
0 17 4 7 0 6 66
0 17 4 6 6 1 56
0 17 4 5 1 7 32
0 17 4 4 7 2 12
0 17 4 3 2 8 24
