A	B	Y	Z	coefficient
5	0	2	3	-133840187523072
5	0	2	2	-920726066601556992
5	0	2	1	259765127590980041856
5	0	2	0	-720314761426576144646976
5	0	1	4	4458050224128
5	0	1	3	57183199077003264
5	0	1	2	122346291457876568256
5	0	1	1	-36715857835091631211296
5	0	1	0	37113017025785761612942056
5	0	0	5	-8173092077568
5	0	0	4	9470590035922944
5	0	0	3	-3812512322239004160
5	0	0	2	-5080179933119775299904
5	0	0	1	1429000174174755878713872
5	0	0	0	-758329153026418298473406676
4	5	0	0	3760476516
4	4	2	0	612220032
4	4	1	0	-419638568184
4	4	0	1	188988922656
4	4	0	0	60024390809121
4	3	3	0	-58977196416
4	3	2	1	19591041024
4	3	2	0	-2239079975784
4	3	1	1	-10894302414432
4	3	1	0	1682865755783856
4	3	0	2	3806239963392
4	3	0	1	1370519436955392
4	3	0	0	-65772164111102028
4	2	4	0	5785173192384
4	2	3	1	-1283213187072
4	2	3	0	-2535031960485552
4	2	2	2	235092492288
4	2	2	1	149617545575328
4	2	2	0	365305094032070700
4	2	1	2	-108355599023616
4	2	1	1	19103660921495232
4	2	1	0	-17768203470466858188
4	2	0	3	38031652583424
4	2	0	2	14666020599690144
4	2	0	1	-1753387621221924792
4	2	0	0	122652895749795930960
4	1	5	0	-114636976551936
4	1	4	1	80088175706112
4	1	4	0	41942377690797312
4	1	3	2	-9207789281280
4	1	3	1	-54292363021956096
4	1	3	0	-4217846863743000000
4	1	2	3	1253826625536
4	1	2	2	3752899000639488
4	1	2	1	11369073808644526080
4	1	2	0	44450434944720516240
4	1	1	3	-394289291649024
4	1	1	2	-326813444292203136
4	1	1	1	-945152494676568342576
4	1	1	0	10769995945331882501616
4	1	0	4	187743122915328
4	1	0	3	41176071672263424
4	1	0	2	4097849596996713120
4	1	0	1	27247467032342941898880
4	1	0	0	-328144551907386201608952
4	0	7	0	1586874322944
4	0	6	0	8235275311567872
4	0	5	1	-980276919717888
4	0	5	0	-4719230872872565248
4	0	4	2	313299928055808
4	0	4	1	86670050417178624
4	0	4	0	1154584892541108545280
4	0	3	3	-21732994842624
4	0	3	2	-190475977903948800
4	0	3	1	82390776483156475392
4	0	3	0	-155915158634937151852896
4	0	2	4	2507653251072
4	0	2	3	16794792147603456
4	0	2	2	38545299791171562240
4	0	2	1	-19232822642943286473984
4	0	2	0	12089213850260932115820840
4	0	1	4	-78599256588288
4	0	1	3	-2783866187495715840
4	0	1	2	-3248901114011729429184
4	0	1	1	1527963696959613068352384
4	0	1	0	-503623246658516038365600096
4	0	0	5	365838746517504
4	0	0	4	-68897906537170176
4	0	0	3	124149576072415962240
4	0	0	2	98292650164923278491776
4	0	0	1	-41692635841835063702149200
4	0	0	0	8727420793559530929880423590
3	6	0	0	8503056
3	5	1	0	-1071385056
3	5	0	1	408146688
3	5	0	0	141308036136
3	4	2	0	47918972088
3	4	1	1	-31835441664
3	4	1	0	-3171452820768
3	4	0	2	8162933760
3	4	0	1	3648066115680
3	4	0	0	-368397109868796
3	3	3	0	-3037682743776
3	3	2	1	657320241024
3	3	2	0	814879938510288
3	3	1	2	-333047697408
3	3	1	1	52093190302848
3	3	1	0	-64295907635859264
3	3	0	3	87071293440
3	3	0	2	17796318000192
3	3	0	1	-13527971363570688
3	3	0	0	1477083644331372252
3	2	5	0	165299408640
3	2	4	0	-108689871161088
3	2	3	1	-24130040341248
3	2	3	0	22512998417062176
3	2	2	2	1540345600512
3	2	2	1	8821095497457984
3	2	2	0	-875750254208730720
3	2	1	3	-1253826625536
3	2	1	2	1949910394179456
3	2	1	1	-898678418620533120
3	2	1	0	-114926065435153652868
3	2	0	4	522427760640
3	2	0	3	-250248611400192
3	2	0	2	-272377233133198272
3	2	0	1	23315570547648123528
3	2	0	0	7192151612324722156968
3	1	6	0	-7111547891712
3	1	5	1	2644790538240
3	1	5	0	1342054878787584
3	1	4	1	-3273148690283520
3	1	4	0	722256525201314304
3	1	3	2	18631080013824
3	1	3	1	999199914814050048
3	1	3	0	-230637461357226625920
3	1	2	3	-3421901832192
3	1	2	2	25142899611068928
3	1	2	1	-125675868145563461376
3	1	2	0	24800136937637018872896
3	1	1	4	626913312768
3	1	1	3	9190522227497472
3	1	1	2	-6769818899556959232
3	1	1	1	6950219988254612816016
3	1	1	0	-1152995699519617195988640
3	1	0	5	1671768834048
3	1	0	4	-2843620013592576
3	1	0	3	-1282827880272660480
3	1	0	2	364185532241339755392
3	1	0	1	-137537377668618618485664
3	1	0	0	19487927211459663302577216
3	0	7	0	531073940078592
3	0	6	1	-44197388550144
3	0	6	0	-273455472910786560
3	0	5	2	10579162152960
3	0	5	1	-30217613496238080
3	0	5	0	70752073882911178752
3	0	4	2	-10750368260468736
3	0	4	1	26537377059434336256
3	0	4	0	-11908301806756268103168
3	0	3	3	480842510893056
3	0	3	2	3173973585323277312
3	0	3	1	-6456444538987163054592
3	0	3	0	1324305305284381722514944
3	0	2	4	14314520641536
3	0	2	3	-171770505809596416
3	0	2	2	-419070315727843411968
3	0	2	1	717028994682795560274432
3	0	2	0	-91336473706346485211635200
3	0	1	5	10030613004288
3	0	1	4	-11608103218581504
3	0	1	3	16746769123415110656
3	0	1	2	26076551272362971530560
3	0	1	1	-38078278233168908733957792
3	0	1	0	3487059823980860835900746544
3	0	0	6	2229025112064
3	0	0	5	-7933431244750848
3	0	0	4	573052716699171840
3	0	0	3	-482210886619529422848
3	0	0	2	-624261898647074681220672
3	0	0	1	786650270631062190539668416
3	0	0	0	-55984444968267735677477198784
2	6	0	0	-299732724
2	5	1	0	25483658832
2	5	0	1	-14387170752
2	5	0	0	-3053906574624
2	4	3	0	918330048
2	4	2	0	283419611064
2	4	1	1	630892742976
2	4	1	0	-160788801026736
2	4	0	2	-287743415040
2	4	0	1	-85373012077344
2	4	0	0	12096718556311305
2	3	4	0	-194685970176
2	3	3	1	29386561536
2	3	3	0	55479991519872
2	3	2	1	20152752903360
2	3	2	0	-4383417983285952
2	3	1	2	3879026122752
2	3	1	1	-6718701908788416
2	3	1	0	56856956945016816
2	3	0	3	-3069263093760
2	3	0	2	-622790316962496
2	3	0	1	392319814702621824
2	3	0	0	2514753471496493052
2	2	5	0	3305988172800
2	2	4	1	-3680666832384
2	2	4	0	-1736660382083136
2	2	3	2	352638738432
2	2	3	1	1659407703455232
2	2	3	0	562394669535923616
2	2	2	2	205682054170752
2	2	2	1	-272203495189747200
2	2	2	0	-87755098323139214004
2	2	1	3	-18689853136896
2	2	1	2	-78365656076217984
2	2	1	1	16867716196430957760
2	2	1	0	6115239284074748495172
2	2	0	4	-18415578562560
2	2	0	3	2200267368525312
2	2	0	2	5206968341372742336
2	2	0	1	-288005056287796205064
2	2	0	0	-155143868679462796618788
2	1	6	0	-357575680770048
2	1	5	1	-22745198628864
2	1	5	0	274949779564892160
2	1	4	2	-21510963044352
2	1	4	1	-4683262845588480
2	1	4	0	-74136425447185498368
2	1	3	3	1880739938304
2	1	3	2	16283975343943680
2	1	3	1	4225713123736389888
2	1	3	0	9722860899312759096960
2	1	2	3	2027672745984
2	1	2	2	-4158428561467467264
2	1	2	1	-778991453742438743040
2	1	2	0	-674376420680787842534736
2	1	1	4	-273647661023232
2	1	1	3	-192944676818824704
2	1	1	2	404078911970054204160
2	1	1	1	58257106929832554492336
2	1	1	0	23773869736121029356202320
2	1	0	5	-58929851400192
2	1	0	4	42480096667103232
2	1	0	3	18357184131862113792
2	1	0	2	-13061970627756777652896
2	1	0	1	-1571779536232994018904096
2	1	0	0	-334594052226624601666251864
2	0	8	0	12694994583552
2	0	7	0	1723345514717184
2	0	6	1	-4434784774520832
2	0	6	0	-2414402305495805952
2	0	5	2	-50779978334208
2	0	5	1	3375081738737197056
2	0	5	0	525077039592673030656
2	0	4	3	-36204243812352
2	0	4	2	-2799246305673216
2	0	4	1	-981356534999608743936
2	0	4	0	-45106235697795624337536
2	0	3	4	3761479876608
2	0	3	3	27539322277847040
2	0	3	2	4658863462717473792
2	0	3	1	144521486054609342188032
2	0	3	0	753423918852065134798080
2	0	2	4	-3990107325358080
2	0	2	3	-6660642342856992768
2	0	2	2	-794864385328294863360
2	0	2	1	-11567013193692306902054016
2	0	2	0	134454936098735229926446416
2	0	1	5	-756057455198208
2	0	1	4	690460126033195008
2	0	1	3	636860515215605511168
2	0	1	2	54354014104345431099840
2	0	1	1	481746977735983687997548704
2	0	1	0	-8959600334839688146262928420
2	0	0	6	-78573135200256
2	0	0	5	129772466297929728
2	0	0	4	-26623901183533567488
2	0	0	3	-20810270541194888685696
2	0	0	2	-1362253967022939326995968
2	0	0	1	-8206450301951485315938434448
2	0	0	0	172963286348501939755506286347
1	6	0	0	3099363912
1	5	2	0	-1147912560
1	5	1	0	16529940864
1	5	0	1	148769467776
1	5	0	0	9084235626072
1	4	3	0	133617021984
1	4	2	1	-45916502400
1	4	2	0	-51285174651864
1	4	1	1	4677973264512
1	4	1	0	5899360263739920
1	4	0	2	2975389355520
1	4	0	1	93241263928608
1	4	0	0	-216565525044888786
1	3	4	0	-2793560006016
1	3	3	1	2870699730048
1	3	3	0	1068127586264736
1	3	2	2	-734664038400
1	3	2	1	-1305501669556992
1	3	2	0	-142682732367596208
1	3	1	2	139115982311424
1	3	1	1	160842853933361280
1	3	1	0	7855228514200095936
1	3	0	3	31737486458880
