B	T	coefficient
8	11	1826771428819959638644752010076012544
8	10	21059504392401510586795707270180765696
8	9	195938935207479798117956999244914503680
8	8	1470436067317786462209961113758605942272
8	7	8859185856801493849856849897839198270464
8	6	42455451631109276474393418662485305480192
8	5	159403872706236707629611327418820094052608
8	4	458059990681329498590530140527892619788864
8	3	971166550791114842697206264000332559126592
8	2	1429584110484828495272624742739726493167488
8	1	1303141699309429356886218578419687922298288
8	0	553418425595648789416271732539927015995129
7	20	144222253424069050368000
7	19	28692883041270039454941184
7	18	2686828679773887647933005824
7	17	157376287614562138319897493504
7	16	6463276956747730357695657934848
7	15	197729232163971961456393957933056
7	14	4672917919165625792066638718042112
7	13	87311342558190057065554600229732352
7	12	1309245487179661532223719037314629632
7	11	15902918658248110375281100120190287872
7	10	157250303110487828768065903457874137088
7	9	1267430383144861314008913516242503471104
7	8	8308639909823096877738874011890784949248
7	7	44043120027305570613324763258512633851904
7	6	186883132967089892569610611241374524298752
7	5	624835529596417456601409881148391112071680
7	4	1607275416083657663437982859797465855421312
7	3	3065308214961557683578547984402062865992960
7	2	4077438419512285953423946131313419132995352
7	1	3373236914297562622076694798906074533406040
7	0	1305498324062606491626016513131025227636966
6	21	1081984027302297600000
6	20	-48323037797264547381248
6	19	-29715842649321247988514816
6	18	-3247802954549342725108137984
6	17	-196771973561023162824197406720
6	16	-8014141191236572046368707379200
6	15	-238183474358162568997811026132992
6	14	-5402354362154770994224340836220928
6	13	-96095294360342141521665226086088704
6	12	-1363825988844225879305141801795764224
6	11	-15610475060416508273576083798316089344
6	10	-144966746563876876667441416760017446912
6	9	-1094503812071812181668584466301458630656
6	8	-6708180762502732926957076290332467481088
6	7	-33201155631539006046589119393732328286208
6	6	-131430099800814425941484806297787863616256
6	5	-409828266494662396707130703536415192345856
6	4	-983320777740764555556581151255886648648128
6	3	-1750179407202201524633094299843060250731712
6	2	-2174665772087877718912521090101601904240140
6	1	-1682596890876013177814121327443888538165516
6	0	-609939652255277342598238722670783934160867
5	22	-13267055193096192000000
5	21	-2763185515119446337781760
5	20	-271760286890607257610878976
5	19	-16786355898633614716544483328
5	18	-730609544109459525482248667136
5	17	-23828331727449371762805112307712
5	16	-604593987529283775356933618270208
5	15	-12229866745190307375451499268145152
5	14	-200503010839225661500658779413282816
5	13	-2693816461099986018144290379009884160
5	12	-29870550790923549833691626447895527424
5	11	-274439955109751077377777836150289235968
5	10	-2091607400149380591027767253203748618240
5	9	-13203746733902779198641163336677829877760
5	8	-68747558077531919088010122299839276793856
5	7	-293054448879282341035183169292737326460928
5	6	-1011215546433106181165661380499021078786048
5	5	-2777697765866560557179450420906059293096960
5	4	-5925954622957946537268952172159506566927360
5	3	-9456091523702541468323565067288261234802880
5	2	-10611419199827045355878480935798938402159936
5	1	-7463591560978607904948762212823585329800368
5	0	-2473814062048881202050524424484893160960800
4	23	-1937373847879680000000
4	22	-378575459276041276620800
4	21	-34949301030277903024128000
4	20	-2027770034493047169179713536
4	19	-82983515674662976217948356608
4	18	-2548368937709189790958192951296
4	17	-61003230059074835393234721570816
4	16	-1167333002146113230633630136532992
4	15	-18168611515886418247965005781663744
4	14	-232811724547057982215679198320656384
4	13	-2476758408999011878275006023462289408
4	12	-21995068404486786340469399097455149056
4	11	-163538047224455995942315659915840258048
4	10	-1018719024063438101489477346399885950976
4	9	-5307740726308929412674161565626596048896
4	8	-23032578398607513732486298523456032874496
4	7	-82636582030279939728092937502037758500864
4	6	-242381933448800868988415580051542836924416
4	5	-571562357297926474494534082908060291852288
4	4	-1057044243985138357550766338597223503708160
4	3	-1476110927303585099485500151424476434837888
4	2	-1462806807838557482272178320348337953146432
4	1	-916343865144287561897977763017634207240736
4	0	-272629278157469150356231588061841371146608
3	24	381393095884800000000
3	23	83197642818860351488000
3	22	8578322312204940623216640
3	21	556581519076991280535830528
3	20	25520460843676985729010892800
3	19	880343918698215660550046613504
3	18	23745276529444911036848903553024
3	17	513803329702157115832929047543808
3	16	9078565636828878677412446360567808
3	15	132634047318917472869600012349210624
3	14	1616133126811167294291229585821401088
3	13	16518629817243262715235849585772462080
3	12	142094444233778927663238504435554648064
3	11	1029848753414428721825826608166863241216
3	10	6282649743220346059450799363304900624384
3	9	32160615928621430204544333572175344271360
3	8	137374141668890798285241978334565766574080
3	7	485518068108949424475711224269914485243904
3	6	1402519538185618038509472825986126276898816
3	5	3254054577186223259812459301424178169954304
3	4	5912231203276342750043495821196909788510080
3	3	8096233273035613648486842934844245158204672
3	2	7852751133120776787375811651648000852101696
3	1	4805824521489900697433131507256895571777344
3	0	1394658060556749691988695329777205768523544
2	25	82463372083200000000
2	24	16910795324061122560000
2	23	1652438825796089212305408
2	22	102428789345578784152092672
2	21	4523454857247632885979021312
2	20	151520714912490868110727839744
2	19	4001484978541415559154051842048
2	18	85485118998708397616487104249856
2	17	1503925428179470110004332522897408
2	16	22064351093480597294460064053067776
2	15	272339810303126290212464529839751168
2	14	2844865365454116459929611367331397632
2	13	25240761644513523463439289974285402112
2	12	190508433199304851020735319914690379776
2	11	1222829247648034883542500588908613206016
2	10	6660716842488733440016824394462245814272
2	9	30660881913713122244749557403050407657472
2	8	118516098476125843997423869545875716718592
2	7	381162020158911860650624680169938112315392
2	6	1006936041721785057068096340593433591791616
2	5	2146049818039822183407826683611704333378560
2	4	3596089831366183599656641066655476847731200
2	3	4558311542664651860701379536319741734304256
2	2	4106006735334216891099646659447014136283392
2	1	2340735437954402124578079906927788152017984
2	0	634508563586854899195452456708160753034272
1	25	43320758134374400000
1	24	9135238857141088419840
1	23	911748063267014351781888
1	22	57333423932282833125507072
1	21	2550991145446370848869974016
1	20	85500134757067620613003149312
1	19	2243797692731862513916519120896
1	18	47311770448058683118571862622208
1	17	816092837597077947189011486343168
1	16	11664403953167811021610615685775360
1	15	139413178824462106194159421290971136
1	14	1402199571988839507851723356847996928
1	13	11916179330756289322224742121135407104
1	12	85739826715854243543520684246721101824
1	11	522448865128666673930921862256247439360
1	10	2691643621832657220299328758691335503872
1	9	11682626446500516430888637821340193914880
1	8	42467577940220402163724405669258408820736
1	7	128171635593629567246186535345638986481664
1	6	317221307838910203585676443578873605496832
1	5	632609765869190524930942527558103955988480
1	4	991022519770370220024469720725185067595776
1	3	1173764854125480611326902530689954360922112
1	2	987680647909521387419254813483957973159424
1	1	525988872430888146174300853910680389416448
1	0	133227228100193239888070814049893664944768
0	26	4398046511104000000
0	25	870676649854422220800
0	24	81976187575611603025920
0	23	4886354519853678295252992
0	22	207083003628396386659074048
0	21	6643235170363815359850479616
0	20	167701166544094921862550650880
0	19	3418896207025941986562413690880
0	18	57322977931897235515841401847808
0	17	800828007362035971589847440687104
0	16	9410609250533748301889901843972096
0	15	93643756031765896995504194353889280
0	14	792663726574049437821660752668262400
0	13	5722802741929632206038564112506552320
0	12	35275132045503534917794370013691379712
0	11	185520697651200596821381388799943114752
0	10	830562423697690784792261461799605370880
0	9	3152043323476173918037819214126689812480
0	8	10075900317062840913650408476172533628928
0	7	26883660597382654270749303076663397646336
0	6	59110732927339402991621737128116853178368
0	5	105207368884768175147066171081435892203520
0	4	147732429169915163672400728993470035271680
0	3	157478435974598152740936009154317686919168
0	2	119721008610613546658471049984361152165888
0	1	57812252593560707230203314757998151152640
0	0	13323512866715020882853148262699798433280
