A	B	Y	Z	coefficient
16	0	2	2	53714576309618242510162150347320177249896754882616697552896000000000000000000000000000
16	0	2	1	1303154136652368767024982415645730387949784128127335268212024331468800000000000000000000000
16	0	2	0	1338774705941448890592554829914099007561765069024980856900165479454002380800000000000000000000
16	0	1	2	-68368886060062836211248592314158912948196775710593043614159339520000000000000000000000000
16	0	1	1	-459106598413989689961862912634158066896118488999842165324604402026151936000000000000000000000
16	0	1	0	-191427419724262610730491802717007976816114076316433099757261688582567341588480000000000000000000
16	0	0	3	-7081636227255483057788340639464674835017984424369709711674572800000000000000000000000000
16	0	0	2	35560119024288057661140385151824419437876190357559031110483304503050240000000000000000000000
16	0	0	1	38394168811196522146879138399604663859480682805154597869818237453396554547200000000000000000000
16	0	0	0	9271873229603403493498617424969387751657624533549991784121309517261955011287449600000000000000000
15	4	0	0	-355618635459084524987015939702185768956188646609935690366976000000000000000000000000000
15	3	2	0	-4200255601305257921267237142176247116232813144985672089600000000000000000000000000000
15	3	1	0	40868636273258981500889749158449742520218355896970510414852915200000000000000000000000000
15	3	0	1	2046383241532967972088517435767913319928146494904573513170944000000000000000000000000000
15	3	0	0	-15000443588355365176004397002116424047773215075464386616755095391436800000000000000000000000
15	2	3	0	51436647689970437369625647483837211985788471239768266506240000000000000000000000000000
15	2	2	1	3540736673032565769384192606602766749270496109080556339200000000000000000000000000000
15	2	2	0	-140093917896676571758655255566242436769257287641768120729059983360000000000000000000000000
15	2	1	1	8606158816979801326244431848473685064765742551611125487422668800000000000000000000000000
15	2	1	0	65390405709333797142459463245263844351983532420219367907343562042245120000000000000000000000
15	2	0	2	149387375302971688875096037820172235968198483719950304280576000000000000000000000000000
15	2	0	1	-7394772076820763382266358549390074018569429740763126908840483120742400000000000000000000000
15	2	0	0	-6956080827728956575033704539198522921185810506899768450689649727864674713600000000000000000000
15	1	4	0	-222130744483809028567353167790051705443470520620578269822976000000000000000000000000000
15	1	3	1	14015590782660029756770913754188504763502885302167068999680000000000000000000000000000
15	1	3	0	354751427850232001645606948393612373256990812049896121359629549568000000000000000000000000
15	1	2	1	-5131311331971976487208285158639736610499928260596111186927288320000000000000000000000000
15	1	2	0	-188585766639249114775985219966105796328412573354466936371205338182975488000000000000000000000
15	1	1	2	-5217956630591522283199401096908904377515255864636613323023974400000000000000000000000000
15	1	1	1	7774264389722450785864622747057543642049379895654016150184574771527680000000000000000000000
15	1	1	0	39311615918333573434412888063633182166515084550153780976196179139204900454400000000000000000000
15	1	0	3	-236851008673158184327368890940975091727396863152866690334720000000000000000000000000000
15	1	0	2	2377782115046088030340983939015059997248834213599374321688183308288000000000000000000000000
15	1	0	1	-2630258015249853766093983310730859714095510756406845326246856668603219968000000000000000000000
15	1	0	0	-2588528880828017231929051591093336214911512383760454003098065893119770178355200000000000000000000
15	0	5	0	210273064068866681494565945892656514103754375848484028599500800000000000000000000000000
15	0	4	1	-33350803208873686076988822998584092350915812523019998330880000000000000000000000000000
15	0	4	0	-411306976835036282272951810594496602900648921916186562737572990156800000000000000000000000
15	0	3	1	57679115401594678227460923203064082199013837963792759284293435392000000000000000000000000
15	0	3	0	273323404289780456134423693150383991089832254019677965570749859446652928000000000000000000000
15	0	2	2	12551597093090798732119831034510495494223455269065125129177006080000000000000000000000000
15	0	2	1	-49459367999442184898920142931636718503198355669592728420445147036123136000000000000000000000
15	0	2	0	-77885151538102566584264925127305258744707730381337868216118721563320962252800000000000000000000
15	0	1	3	-1552300305934829674576027280011754593787461021820899880337408000000000000000000000000000
15	0	1	2	-5590943358604416621918798926614119869172783957501340494086060743065600000000000000000000000
15	0	1	1	15356131124973134297367229966557987674721787011317534413187550934029513523200000000000000000000
15	0	1	0	9643210713489084002060430995149746155329215433947477284776299423400904078917632000000000000000000
15	0	0	3	1132901400175537926065529386428780222069533285835273878373291524096000000000000000000000000
15	0	0	2	-289714248091586481733348710236187274954338141939986233947749934918795264000000000000000000000
15	0	0	1	-1250182152289211509078919495372527094230562192498054311508004924730732204523520000000000000000000
15	0	0	0	-428506530004550949676822847114681897724522681075415228325982491202351259720498544640000000000000000
14	5	0	0	-8444371203897077339277726547105452078970827069081413222400000000000000000000000000000
14	4	1	0	-53525700859523137447500301843551021760145164381022406574080000000000000000000000000000
14	4	0	1	2133119156858292757098319031165353365390312177731528294400000000000000000000000000000
14	4	0	0	339338249139789839994472648239428381344829858066287485856304332800000000000000000000000000
14	3	2	0	5552335374121672719436410683585673002078304680561803385634816000000000000000000000000000
14	3	1	1	344221783191749293775919248501704428491146321623111224524800000000000000000000000000000
14	3	1	0	-4823469304854518407282684729230021439460957501214292113238756687872000000000000000000000000
14	3	0	2	7505542499042523241118487464015211572208204285331321651200000000000000000000000000000
14	3	0	1	-206943268941697231970840719112283665081916848382547003851354931200000000000000000000000000
14	3	0	0	958376284261594007167726254417308689296334373689759307958876623207399424000000000000000000000
14	2	4	0	1953721344004460433193286741364117572423934985024359628800000000000000000000000000000
14	2	3	0	-15768549983426211988674191122011928619761199872644521403403468800000000000000000000000000
14	2	2	1	294866748579853028260316220932589020159478412557180242755584000000000000000000000000000
