A	B	Y	Z	u	coefficient
16	0	1	2	1	-237724352972638438500000000
16	0	1	1	4	35344161319829271940800000
16	0	1	1	3	1750100399681993555360400000
16	0	1	1	2	18327886257855164892343200000
16	0	1	1	1	-954947732552391139338318300000
16	0	1	0	4	75717957898169455065372234000
16	0	1	0	3	3797692821093465206975963898000
16	0	1	0	2	67763993644021209870002106294000
16	0	1	0	1	-290962424858274338434360317549000
16	0	0	2	3	110105225997217024050000000
16	0	0	2	2	7027856317615632443661600000
16	0	0	2	1	104842004850783480221058600000
16	0	0	1	4	-12465026127268984046897280000
16	0	0	1	3	-496090111630555278766099998000
16	0	0	1	2	-2145656177215669865369122236000
16	0	0	1	1	90643326963307876848748413672000
16	0	0	0	4	-7181817970694443578179705718000
16	0	0	0	3	-325962549820831938479763314622660
16	0	0	0	2	-3798210263510217410245975030499160
16	0	0	0	1	16796088451549565946916559279006850
15	3	1	0	1	-343980091204865156250000
15	3	0	0	4	3655450911867046875000
15	3	0	0	3	588661127197786386562500
15	3	0	0	2	37417017970759763975625000
15	3	0	0	1	6867650529293187741844921875
15	2	2	0	2	613669847877262687500000
15	2	2	0	1	55272522489224306062500000
15	2	1	1	1	3962465283735461250000000
15	2	1	0	4	-444374734156495993125000
15	2	1	0	3	-118280085396508754977500000
15	2	1	0	2	-7343509262894539556622750000
15	2	1	0	1	-23477034786695691335241187500
15	2	0	1	4	-14243270180590687500000
15	2	0	1	3	-4926411777630035548125000
15	2	0	1	2	-268347561007763309175000000
15	2	0	1	1	-11180203600876733386178437500
15	2	0	0	5	-165601491624510913125000
15	2	0	0	4	919013149066915696667625000
15	2	0	0	3	66072458683373489429816812500
15	2	0	0	2	1827782815690576584154461915000
15	2	0	0	1	4510589742967577653188411671250
15	1	3	0	3	-66278022551277075000000
15	1	3	0	2	-9086717076632932275000000
15	1	3	0	1	146559946828254666300000000
15	1	2	1	2	-736247145057212250000000
15	1	2	1	1	-23068178179709290031250000
15	1	2	0	4	6906227909422570888500000
15	1	2	0	3	427117226133961561288500000
15	1	2	0	2	-5572383541061684211672300000
15	1	2	0	1	-75141285932340563636378362500
15	1	1	2	1	-2299518349860197812500000
15	1	1	1	4	413239190421337830000000
15	1	1	1	3	36359607680317747635750000
15	1	1	1	2	1912404827120068849653000000
15	1	1	1	1	6700749050739094890622875000
15	1	1	0	5	-1166567875120541054700000
15	1	1	0	4	-2187624901462462304973270000
15	1	1	0	3	-95704165200769208497984995000
15	1	1	0	2	2276454601076563197985409190000
15	1	1	0	1	10534907605943483983722025890000
15	1	0	2	3	2059281266339601450000000
15	1	0	2	2	114211932595061636610000000
15	1	0	2	1	-58605965936920653530625000
15	1	0	1	5	-52114176779447376000000
15	1	0	1	4	-267433363280269411633800000
15	1	0	1	3	-9283662863011603746065700000
15	1	0	1	2	-141885919094788700273181420000
15	1	0	1	1	382316787822096935437038480000
15	1	0	0	5	456180668098135458140376000
15	1	0	0	4	176304063107067643300901058000
15	1	0	0	3	4402219067835012145226692168200
15	1	0	0	2	-170200641162769375801341600201600
15	1	0	0	1	-401570281555747680002260512079800
15	0	4	0	3	19014607595934720000000
15	0	4	0	2	51932465727519548160000000
15	0	4	0	1	-516428636134388894730000000
15	0	3	1	2	-3930499690577222400000000
15	0	3	1	1	212317195207469695200000000
15	0	3	0	4	-32043132429382740283200000
15	0	3	0	3	-1969487579435451018537600000
15	0	3	0	2	-9667260875449308610980000000
15	0	3	0	1	495474647217545119856994000000
15	0	2	2	1	-13079378868086817000000000
15	0	2	1	4	4058943744931471440000000
15	0	2	1	3	139736103949498122396000000
15	0	2	1	2	-15879094432865440492752000000
15	0	2	1	1	-168990071357020628583639000000
15	0	2	0	4	22216720600938462476415120000
15	0	2	0	3	1070356331760084667181141676000
15	0	2	0	2	-5856093830144013704874454968000
15	0	2	0	1	-160970388836277989903789746989000
15	0	1	2	3	24213791405015706600000000
15	0	1	2	2	2556394140343465988568000000
15	0	1	2	1	579653557715652527178000000
15	0	1	1	4	-1783407003529783758192000000
15	0	1	1	3	-16192723252791344567385240000
15	0	1	1	2	7243890889192020105816627720000
15	0	1	1	1	44597095442579849707578033450000
15	0	1	0	4	-4921448889411331796615747810400
15	0	1	0	3	-189056079290593671392794209868800
15	0	1	0	2	1636647855898183004683539136742400
15	0	1	0	1	21146336725554612153107756760268800
15	0	0	3	1	2259282606954155541900000000
15	0	0	2	4	-271590156008284882104000000
15	0	0	2	3	-22996359444809973455964000000
15	0	0	2	2	-835509395898177776523054720000
15	0	0	2	1	-1663893177735247418391541470000
15	0	0	1	4	368361117573297844068265968000
15	0	0	1	3	3258731572535318399575212938400
15	0	0	1	2	-667921273501136311056163664088000
15	0	0	1	1	-3347960380447378954516436589152400
15	0	0	0	4	331943670878090707982854111466880
15	0	0	0	3	10566678578093548894258158449844000
15	0	0	0	2	-108083563792162486553202777081514944
15	0	0	0	1	-968065120171988898546789974597626224
14	4	0	0	2	301028004526517578125000
14	4	0	0	1	32348211107781015703125000
14	3	1	0	3	70850558943305831250000
14	3	1	0	2	6225752478394819518750000
14	3	1	0	1	2105289504178902015300000000
14	3	0	1	2	289727741622891796875000
14	3	0	1	1	43325100331245693281250000
14	3	0	0	5	381147201664453125000
14	3	0	0	4	-2938210573609967788125000
14	3	0	0	3	-1164391611732899479736718750
14	3	0	0	2	-53142675685562396420175375000
14	3	0	0	1	-814376632797440023242629390625
14	2	3	0	1	1944865199202966562500000
14	2	2	0	4	-24567336727530300000000
14	2	2	0	3	-12139955927751918172500000
14	2	2	0	2	-1136037209305310639988750000
14	2	2	0	1	4712738992610556476694375000
14	2	1	1	3	-578115045465032925000000
14	2	1	1	2	-65379448758616784493750000
14	2	1	1	1	-2880029222158029201618750000
14	2	1	0	5	-31048903336775073750000
14	2	1	0	4	316974665900074423863375000
14	2	1	0	3	21867589388282901222152925000
14	2	1	0	2	499267865191301780996483775000
14	2	1	0	1	-2040492123257008596999169837500
14	2	0	2	2	-343426477739006250000000
14	2	0	2	1	-118805579907346611562500000
14	2	0	1	5	-1052629141292437500000
14	2	0	1	4	11672733018143874870000000
14	2	0	1	3	1722199534051111099308000000
14	2	0	1	2	79691374064225628165453750000
14	2	0	1	1	941600101095792634159225125000
14	2	0	0	5	37819746130777104785895000
14	2	0	0	4	-102325279752874314163947915000
14	2	0	0	3	-4940065956402177281874052596000
14	2	0	0	2	-64440191746147266290573971254000
14	2	0	0	1	136080425977435079766463715250750
14	1	4	0	2	-319238225609242500000000
14	1	4	0	1	13876486482551170500000000
14	1	3	1	1	-1490298265013208750000000
14	1	3	0	4	505882924964833185000000
14	1	3	0	3	37205114600386200348000000
14	1	3	0	2	-2444750207420649854238000000
14	1	3	0	1	-13318879988783190617687250000
14	1	2	1	4	28703700426520350000000
14	1	2	1	3	6010275744294290122500000
14	1	2	1	2	365795874916401824820000000
14	1	2	1	1	910850862031519346403750000
14	1	2	0	5	-97470280781378505000000
14	1	2	0	4	269233465318636564444500000
14	1	2	0	3	13850416269149132959255575000
14	1	2	0	2	1260928120350272767332729210000
14	1	2	0	1	4295009550290210779863253297500
14	1	1	2	3	226349611326893025000000
14	1	1	2	2	31572975017937655350000000
14	1	1	2	1	-34206526224536684118750000
14	1	1	1	5	-5740740085304070000000
14	1	1	1	4	-126725885416086246621000000
14	1	1	1	3	-7441699698071743896981000000
14	1	1	1	2	-113718548515418018664505200000
14	1	1	1	1	-786189765008505566747783700000
14	1	1	0	5	25368010440520341364740000
14	1	1	0	4	-146744881375655922721355250000
14	1	1	0	3	-7140627799972170650144318709000
14	1	1	0	2	-190689941043610326258783480756000
14	1	1	0	1	-566029332245456548910627439789000
14	1	0	3	1	40029945448337558437500000
14	1	0	2	4	-3267138007978741620000000
14	1	0	2	3	-81005505844824619719750000
14	1	0	2	2	-933741725542232915947500000
14	1	0	2	1	184368908701806250105545750000
14	1	0	1	5	21627695097020963152800000
14	1	0	1	4	21119628134671815379323960000
14	1	0	1	3	745530168489976124272239048000
14	1	0	1	2	3715582454699270227929258480000
14	1	0	1	1	91709923130803530961299308727000
14	1	0	0	5	-8862493081335803792133926400
14	1	0	0	4	13366782640122770702468016154800
14	1	0	0	3	593991424539223121890570378772520
